"ObsWell","GapHours","Well_ID.x","STATUS.x","Present.in.PGOWN.Spreadsheet.","Well_ID.y","STATUS.y","Present in PGOWN Spreadsheet?","Region","gap_type"
"OW264",0,264,"Active","yes",264,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW265",1,265,"Active","yes",265,"Active","yes","West Coast","< 27 Days"
"OW268",0.366666666666667,268,"Active","yes",268,"Active","yes","West Coast","< 27 Days"
"OW272",0,272,"Active","yes",272,"Active","yes","South Coast","< 27 Days"
"OW275",0,275,"Active","yes",275,"Active","yes","South Coast","< 27 Days"
"OW281",4,281,"Active","yes",281,"Active","yes","West Coast","< 27 Days"
"OW282",0,282,"Active","yes",282,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW283",3.78333333333333,283,"Active","yes",283,"Active","yes","West Coast","< 27 Days"
"OW284",2,284,"Active","yes",284,"Active","yes","West Coast","< 27 Days"
"OW286",0,286,"Active","yes",286,"Active","yes","Northeast","< 27 Days"
"OW287",224,287,"Active","yes",287,"Active","yes","West Coast","< 27 Days"
"OW288",0.55,288,"Active","yes",288,"Active","yes","West Coast","< 27 Days"
"OW289",0,289,"Active","yes",289,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW290",0,290,"Active","yes",290,"Active","yes","West Coast","< 27 Days"
"OW291",0,291,"Active","yes",291,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW292",0,292,"Active","yes",292,"Active","yes","South Coast","< 27 Days"
"OW293",5,293,"Active","yes",293,"Active","yes","Omineca","< 27 Days"
"OW294",0,294,"Active","yes",294,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW295",1,295,"Active","yes",295,"Active","yes","West Coast","< 27 Days"
"OW296",0,296,"Active","yes",296,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW299",0,299,"Active","yes",299,"Active","yes","South Coast","< 27 Days"
"OW301",0,301,"Active","yes",301,"Active","yes","South Coast","< 27 Days"
"OW302",1,302,"Active","yes",302,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW303",0,303,"Active","yes",303,"Active","yes","West Coast","< 27 Days"
"OW304",0,304,"Active","yes",304,"Active","yes","West Coast","< 27 Days"
"OW306",0,306,"Active","yes",306,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW309",0,309,"Active","yes",309,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW310",0,310,"Active","yes",310,"Active","yes","West Coast","< 27 Days"
"OW311",0,311,"Active","yes",311,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW312",0,312,"Active","yes",312,"Active","yes","West Coast","< 27 Days"
"OW314",0,314,"Active","yes",314,"Active","yes","West Coast","< 27 Days"
"OW316",0,316,"Active","yes",316,"Active","yes","West Coast","< 27 Days"
"OW319",0,319,"Active","yes",319,"Active","yes","West Coast","< 27 Days"
"OW320",1,320,"Active","yes",320,"Active","yes","West Coast","< 27 Days"
"OW321",0,321,"Active","yes",321,"Active","yes","West Coast","< 27 Days"
"OW327",0,327,"Active","yes",327,"Active","yes","West Coast","< 27 Days"
"OW329",0,329,"Active","yes",329,"Active","yes","West Coast","< 27 Days"
"OW332",0,332,"Active","yes",332,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW337",0,337,"Active","yes",337,"Active","yes","West Coast","< 27 Days"
"OW338",0,338,"Active","yes",338,"Active","yes","West Coast","< 27 Days"
"OW340",4,340,"Active","yes",340,"Active","yes","West Coast","< 27 Days"
"OW343",0,343,"Active","yes",343,"Active","yes","West Coast","< 27 Days"
"OW345",0,345,"Active","yes",345,"Active","yes","West Coast","< 27 Days"
"OW349",0,349,"Active","yes",349,"Active","yes","South Coast","< 27 Days"
"OW351",0,351,"Active","yes",351,"Active","yes","West Coast","< 27 Days"
"OW353",0,353,"Active","yes",353,"Active","yes","South Coast","< 27 Days"
"OW354",1,354,"Active","yes",354,"Active","yes","South Coast","< 27 Days"
"OW355",3.6,355,"Active","yes",355,"Active","yes","West Coast","< 27 Days"
"OW356",0,356,"Active","yes",356,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW357",0,357,"Active","yes",357,"Active","yes","South Coast","< 27 Days"
"OW360",0,360,"Active","yes",360,"Active","yes","South Coast","< 27 Days"
"OW361",24,361,"Active","yes",361,"Active","yes","South Coast","< 27 Days"
"OW362",0,362,"Active","yes",362,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW363",0,363,"Active","yes",363,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW364",0,364,"Active","yes",364,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW365",0,365,"Active","yes",365,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW369",0,369,"Active","yes",369,"Active","yes","West Coast","< 27 Days"
"OW371",0,371,"Active","yes",371,"Active","yes","West Coast","< 27 Days"
"OW372",0,372,"Active","yes",372,"Active","yes","West Coast","< 27 Days"
"OW373",1,373,"Active","yes",373,"Active","yes","West Coast","< 27 Days"
"OW374",1,374,"Active","yes",374,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW375",0,375,"Active","yes",375,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW376",0,376,"Active","yes",376,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW377",0,377,"Active","yes",377,"Active","yes","Skeena","< 27 Days"
"OW378",0,378,"Active","yes",378,"Active","yes","Omineca","< 27 Days"
"OW381",9999,NA,NA,NA,381,"Active","yes","Thompson-Cariboo","> 81 Days"
"OW383",2,383,"Active","yes",383,"Active","yes","West Coast","< 27 Days"
"OW384",0,384,"Active","yes",384,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW385",0.65,385,"Active","yes",385,"Active","yes","West Coast","< 27 Days"
"OW386",3,386,"Active","yes",386,"Active","yes","Skeena","< 27 Days"
"OW387",2,387,"Active","yes",387,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW388",0,388,"Active","yes",388,"Active","yes","West Coast","< 27 Days"
"OW389",9,389,"Active","yes",389,"Active","yes","West Coast","< 27 Days"
"OW390",0.316666666666667,390,"Active","yes",390,"Active","yes","West Coast","< 27 Days"
"OW391",0,391,"Active","yes",391,"Active","yes","West Coast","< 27 Days"
"OW392",1.05,392,"Active","yes",392,"Active","yes","West Coast","< 27 Days"
"OW393",1,393,"Active","yes",393,"Active","yes","West Coast","< 27 Days"
"OW394",0,394,"Active","yes",394,"Active","yes","West Coast","< 27 Days"
"OW395",0,395,"Active","yes",395,"Active","yes","West Coast","< 27 Days"
"OW396",0.316666666666667,396,"Active","yes",396,"Active","yes","West Coast","< 27 Days"
"OW397",8,397,"Active","yes",397,"Active","yes","West Coast","< 27 Days"
"OW398",0,398,"Active","yes",398,"Active","yes","West Coast","< 27 Days"
"OW399",0,399,"Active","yes",399,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW400",0,400,"Active","yes",400,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW401",0,401,"Active","yes",401,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW402",0,402,"Active","yes",402,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW403",0,403,"Active","yes",403,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW404",0,404,"Active","yes",404,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW405",0,405,"Active","yes",405,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW406",0,406,"Active","yes",406,"Active","yes","South Coast","< 27 Days"
"OW407",0,407,"Active","yes",407,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW408",0,408,"Active","yes",408,"Active","yes","South Coast","< 27 Days"
"OW409",0.316666666666667,409,"Active","yes",409,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW410",0,410,"Active","yes",410,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW411",22.3166666666667,411,"Active","yes",411,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW412",0,412,"Active","yes",412,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW413",0,413,"Active","yes",413,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW414",0,414,"Active","yes",414,"Active","yes","South Coast","< 27 Days"
"OW415",0,415,"Active","yes",415,"Active","yes","South Coast","< 27 Days"
"OW416",0,416,"Active","yes",416,"Active","yes","Northeast","< 27 Days"
"OW417",0,417,"Active","yes",417,"Active","yes","Northeast","< 27 Days"
"OW418",0,418,"Active","yes",418,"Active","yes","Northeast","< 27 Days"
"OW420",0,420,"Active","yes",420,"Active","yes","Northeast","< 27 Days"
"OW422",4270,422,"Active","yes",422,"Active","yes","Thompson-Cariboo","> 81 Days"
"OW423",0,423,"Active","yes",423,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW424",0.283333333333333,424,"Active","yes",424,"Active","yes","West Coast","< 27 Days"
"OW425",0,425,"Active","yes",425,"Active","yes","West Coast","< 27 Days"
"OW426",0,426,"Active","yes",426,"Active","yes","West Coast","< 27 Days"
"OW427",0,427,"Active","yes",427,"Active","yes","West Coast","< 27 Days"
"OW428",0,428,"Active","yes",428,"Active","yes","West Coast","< 27 Days"
"OW429",0,429,"Active","yes",429,"Active","yes","West Coast","< 27 Days"
"OW430",9999,NA,NA,NA,430,"Active","yes","West Coast","> 81 Days"
"OW431",0,431,"Active","yes",431,"Active","yes","West Coast","< 27 Days"
"OW432",0,432,"Active","yes",432,"Active","yes","West Coast","< 27 Days"
"OW433",0.2,433,"Active","yes",433,"Active","yes","West Coast","< 27 Days"
"OW434",1,434,"Active","yes",434,"Active","yes","West Coast","< 27 Days"
"OW435",26,435,"Active","yes",435,"Active","yes","West Coast","< 27 Days"
"OW436",673.916666666667,436,"Active","yes",436,"Active","yes","West Coast","27 - 54 Days"
"OW437",1.89944444444444,437,"Active","yes",437,"Active","yes","West Coast","< 27 Days"
"OW438",0,438,"Active","yes",438,"Active","yes","West Coast","< 27 Days"
"OW439",0,439,"Active","yes",439,"Active","yes","West Coast","< 27 Days"
"OW440",62,440,"Active","yes",440,"Active","yes","South Coast","< 27 Days"
"OW441",0,441,"Active","yes",441,"Active","yes","South Coast","< 27 Days"
"OW442",0,442,"Active","yes",442,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW443",2634.75,443,"Active","yes",443,"Active","yes","West Coast","> 81 Days"
"OW444",0,444,"Active","yes",444,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW445",0,445,"Active","yes",445,"Active","yes","Northeast","< 27 Days"
"OW446",40,446,"Active","yes",446,"Active","yes","South Coast","< 27 Days"
"OW447",0,447,"Active","yes",447,"Active","yes","South Coast","< 27 Days"
"OW448",0,448,"Active","yes",448,"Active","yes","South Coast","< 27 Days"
"OW449",1,449,"Active","yes",449,"Active","yes","South Coast","< 27 Days"
"OW450",96,450,"Active","yes",450,"Active","yes","South Coast","< 27 Days"
"OW451",0,451,"Active","yes",451,"Active","yes","South Coast","< 27 Days"
"OW452",0,452,"Active","yes",452,"Active","yes","South Coast","< 27 Days"
"OW453",1,453,"Active","yes",453,"Active","yes","South Coast","< 27 Days"
"OW454",1,454,"Active","yes",454,"Active","yes","South Coast","< 27 Days"
"OW455",2,455,"Active","yes",455,"Active","yes","Omineca","< 27 Days"
"OW456",1,456,"Active","yes",456,"Active","yes","South Coast","< 27 Days"
"OW457",0,457,"Active","yes",457,"Active","yes","South Coast","< 27 Days"
"OW458",10,458,"Active","yes",458,"Active","yes","South Coast","< 27 Days"
"OW459",0,459,"Active","yes",459,"Active","yes","South Coast","< 27 Days"
"OW460",0,460,"Active","yes",460,"Active","yes","South Coast","< 27 Days"
"OW461",1,461,"Active","yes",461,"Active","yes","South Coast","< 27 Days"
"OW462",0,462,"Active","yes",462,"Active","yes","South Coast","< 27 Days"
"OW463",2,463,"Active","yes",463,"Active","yes","South Coast","< 27 Days"
"OW464",0,464,"Active","yes",464,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW467",0,467,"Active","yes",467,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW468",0,468,"Active","yes",468,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW469",0.05,469,"Active","yes",469,"Active","yes","West Coast","< 27 Days"
"OW470",0,470,"Active","yes",470,"Active","yes","West Coast","< 27 Days"
"OW471",0,471,"Active","yes",471,"Active","yes","South Coast","< 27 Days"
"OW473",0,473,"Active","yes",473,"Active","yes","South Coast","< 27 Days"
"OW474",0,474,"Active","yes",474,"Active","yes","South Coast","< 27 Days"
"OW475",0,475,"Active","yes",475,"Active","yes","South Coast","< 27 Days"
"OW476",1,476,"Active","yes",476,"Active","yes","South Coast","< 27 Days"
"OW477",0,477,"Active","yes",477,"Active","yes","South Coast","< 27 Days"
"OW478",0,478,"Active","yes",478,"Active","yes","South Coast","< 27 Days"
"OW479",1,479,"Active","yes",479,"Active","yes","South Coast","< 27 Days"
"OW480",0,480,"Active","yes",480,"Active","yes","South Coast","< 27 Days"
"OW481",0,481,"Active","yes",481,"Active","yes","Northeast","< 27 Days"
"OW482",115,482,"Active","yes",482,"Active","yes","Northeast","< 27 Days"
"OW483",0,483,"Active","yes",483,"Active","yes","South Coast","< 27 Days"
"OW484",0,484,"Active","yes",484,"Active","yes","West Coast","< 27 Days"
"OW485",0,485,"Active","yes",485,"Active","yes","South Coast","< 27 Days"
"OW486",0,486,"Active","yes",486,"Active","yes","South Coast","< 27 Days"
"OW487",0,487,"Active","yes",487,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW488",1,488,"Active","yes",488,"Active","yes","West Coast","< 27 Days"
"OW489",0,489,"Active","yes",489,"Active","yes","West Coast","< 27 Days"
"OW490",0,490,"Active","yes",490,"Active","yes","South Coast","< 27 Days"
"OW491",0,491,"Active","yes",491,"Active","yes","South Coast","< 27 Days"
"OW492",1,492,"Active","yes",492,"Active","yes","South Coast","< 27 Days"
"OW493",0,493,"Active","yes",493,"Active","yes","West Coast","< 27 Days"
"OW494",0,494,"Active","yes",494,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW495",0,495,"Active","yes",495,"Active","yes","South Coast","< 27 Days"
"OW496",1326,496,"Active","yes",496,"Active","yes","Northeast","54 - 81 Days"
"OW497",0,497,"Active","yes",497,"Active","yes","South Coast","< 27 Days"
"OW498",0,498,"Active","yes",498,"Active","yes","South Coast","< 27 Days"
"OW499",0,499,"Active","yes",499,"Active","yes","South Coast","< 27 Days"
"OW501",0,501,"Active","yes",501,"Active","yes","Skeena","< 27 Days"
"OW502",0,502,"Active","yes",502,"Active","yes","Omineca","< 27 Days"
"OW503",1,503,"Active","yes",503,"Active","yes","South Coast","< 27 Days"
"OW504",1,504,"Active","yes",504,"Active","yes","South Coast","< 27 Days"
"OW506",0,506,"Active","yes",506,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW507",0,507,"Active","yes",507,"Active","yes","West Coast","< 27 Days"
"OW508",0,508,"Active","yes",508,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW509",140,509,"Active","yes",509,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW510",0,510,"Active","yes",510,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW511",0,511,"Active","yes",511,"Active","yes","South Coast","< 27 Days"
"OW512",0.233333333333333,512,"Active","yes",512,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW513",0,513,"Active","yes",513,"Active","yes","Skeena","< 27 Days"
"OW514",0,514,"Active","yes",514,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW515",0,515,"Active","yes",515,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW516",3,516,"Active","yes",516,"Active","yes","Omineca","< 27 Days"
"OW517",0,517,"Active","yes",517,"Active","yes","Omineca","< 27 Days"
"OW518",1,518,"Active","yes",518,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW520",43,520,"Active","yes",520,"Active","yes","Skeena","< 27 Days"
"OW521",1,521,"Active","yes",521,"Active","yes","West Coast","< 27 Days"
"OW523",3024,523,"Active","yes",523,"Active","yes","Northeast","> 81 Days"
