"ObsWell","GapHours","Well_ID.x","STATUS.x","Present.in.PGOWN.Spreadsheet.","Well_ID.y","STATUS.y","Present in PGOWN Spreadsheet?","Region","gap_type"
"OW002",0,2,"Active","yes",2,"Active","yes","South Coast","< 27 Days"
"OW008",0,8,"Active","yes",8,"Active","yes","South Coast","< 27 Days"
"OW035",0,35,"Active","yes",35,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW045",2,45,"Active","yes",45,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW047",0,47,"Active","yes",47,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW058",0,58,"Active","yes",58,"Active","yes","West Coast","< 27 Days"
"OW060",0,60,"Active","yes",60,"Active","yes","West Coast","< 27 Days"
"OW071",0,71,"Active","yes",71,"Active","yes","West Coast","< 27 Days"
"OW074",4264,74,"Active","yes",74,"Active","yes","Okanagan-Kootenay","> 81 Days"
"OW075",20.6833333333333,75,"Active","yes",75,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW080",1,80,"Active","yes",80,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW081",0,81,"Active","yes",81,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW082",0,82,"Active","yes",82,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW088",0,88,"Active","yes",88,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW115",0,115,"Active","yes",115,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW117",29,117,"Active","yes",117,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW118",0,118,"Active","yes",118,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW122",23,122,"Active","yes",122,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW124",0,124,"Active","yes",124,"Active","yes","Northeast","< 27 Days"
"OW125",0,125,"Active","yes",125,"Active","yes","West Coast","< 27 Days"
"OW128",0,128,"Active","yes",128,"Active","yes","West Coast","< 27 Days"
"OW154",3573,154,"Active","yes",154,"Active","yes","Okanagan-Kootenay","> 81 Days"
"OW172",0,172,"Active","yes",172,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW180",0,180,"Active","yes",180,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW185",0,185,"Active","yes",185,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW196",0.716666666666667,196,"Active","yes",196,"Active","yes","West Coast","< 27 Days"
"OW197",0.266666666666667,197,"Active","yes",197,"Active","yes","West Coast","< 27 Days"
"OW200",0,200,"Active","yes",200,"Active","yes","Skeena","< 27 Days"
"OW201",0,201,"Active","yes",201,"Active","yes","West Coast","< 27 Days"
"OW203",24,203,"Active","yes",203,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW204",0,204,"Active","yes",204,"Active","yes","West Coast","< 27 Days"
"OW211",0,211,"Active","yes",211,"Active","yes","West Coast","< 27 Days"
"OW217",0,217,"Active","yes",217,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW232",0,232,"Active","yes",232,"Active","yes","West Coast","< 27 Days"
"OW233",0,233,"Active","yes",233,"Active","yes","West Coast","< 27 Days"
"OW236",0,236,"Active","yes",236,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW240",0,240,"Active","yes",240,"Active","yes","West Coast","< 27 Days"
"OW255",0,255,"Active","yes",255,"Active","yes","South Coast","< 27 Days"
"OW258",0,258,"Active","yes",258,"Active","yes","West Coast","< 27 Days"
"OW260",0,260,"Active","yes",260,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW261",0,261,"Active","yes",261,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW262",0,262,"Active","yes",262,"Active","yes","Okanagan-Kootenay","< 27 Days"
