"Region","percent","report_date"
"Northeast",81.8181818181818,"2026-01-08"
"Okanagan-Kootenay",96.1538461538462,"2026-01-08"
"Omineca",100,"2026-01-08"
"Skeena",100,"2026-01-08"
"South Coast",100,"2026-01-08"
"Thompson-Cariboo",91.304347826087,"2026-01-08"
"West Coast",96.3855421686747,"2026-01-08"
"Province-wide",96.25,"2026-01-08"
"Northeast",100,"2025-08-08"
"Okanagan-Kootenay",98.1132075471698,"2025-08-08"
"Omineca",100,"2025-08-08"
"Skeena",100,"2025-08-08"
"South Coast",100,"2025-08-08"
"Thompson-Cariboo",90.9090909090909,"2025-08-08"
"West Coast",97.5609756097561,"2025-08-08"
"Province-wide",97.8991596638655,"2025-08-08"
