"ObsWell","TotalDataPts","Graded","Approved","per.approved.also.graded","Well_ID","STATUS","Present in PGOWN Spreadsheet?","Region","type"
"OW047",3792,3792,3792,100,47,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW074",4293,4293,4293,100,74,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW115",9881,720,720,100,115,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW124",9879,216,215,100.46511627907,124,"Active","yes","Northeast","Data has been approved and graded"
"OW233",8661,8661,4317,200.625434329395,233,"Active","yes","West Coast","Issues exist with grading or approval"
"OW286",235,235,234,100.42735042735,286,"Active","yes","Northeast","Data has been approved and graded"
"OW311",4655,4655,4655,100,311,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW332",4454,4454,4454,100,332,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW388",9976,8298,3903,212.60568793236,388,"Active","yes","West Coast","Issues exist with grading or approval"
"OW392",7796,7796,1916,406.889352818372,392,"Active","yes","West Coast","Issues exist with grading or approval"
"OW393",7592,7176,1916,374.530271398747,393,"Active","yes","West Coast","Issues exist with grading or approval"
"OW464",8321,8321,3618,229.988944168049,464,"Active","yes","Thompson-Cariboo","Issues exist with grading or approval"
"OW481",9356,9356,0,Inf,481,"Active","yes","Northeast","Issues exist with grading or approval"
"OW482",10171,0,0,NA,482,"Active","yes","Northeast","Issues exist with grading or approval"
"OW496",4530,4530,4529,100.022079929344,496,"Active","yes","Northeast","Data has been approved and graded"
"OW503",10150,4626,4626,100,503,"Active","yes","South Coast","Data has been approved and graded"
"OW517",10158,4004,4003,100.024981264052,517,"Active","yes","Omineca","Data has been approved and graded"
