"ObsWell","AgeApprovedDat_Months","Well_ID","STATUS","Present in PGOWN Spreadsheet?","Region","age_approval"
"OW503",0.9,503,"Active","yes","South Coast","<7 Months"
"OW311",0.9,311,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW496",1,496,"Active","yes","Northeast","<7 Months"
"OW332",1.2,332,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW074",1.4,74,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW233",1.4,233,"Active","yes","West Coast","<7 Months"
"OW388",1.6,388,"Active","yes","West Coast","<7 Months"
"OW517",1.8,517,"Active","yes","Omineca","<7 Months"
"OW047",2.1,47,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW464",2.3,464,"Active","yes","Thompson-Cariboo","<7 Months"
"OW392",4.6,392,"Active","yes","West Coast","<7 Months"
"OW393",4.6,393,"Active","yes","West Coast","<7 Months"
"OW115",6.3,115,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW286",6.9,286,"Active","yes","Northeast","<7 Months"
"OW124",7,124,"Active","yes","Northeast","7 - 12 Months"
"OW482",13,482,"Active","yes","Northeast","12 - 24 Months"
"OW481",13,481,"Active","yes","Northeast","12 - 24 Months"
