"Region","percent","report_date"
"Province-wide",58.8235294117647,"2026-01-08"
"West Coast",0,"2026-01-08"
"South Coast",100,"2026-01-08"
"Okanagan-Kootenay",100,"2026-01-08"
"Thompson-Cariboo",0,"2026-01-08"
"Northeast",60,"2026-01-08"
"Omineca",100,"2026-01-08"
"Skeena",0,"2026-01-08"
"Northeast",70,"2025-08-08"
"Okanagan-Kootenay",98.0769230769231,"2025-08-08"
"Omineca",100,"2025-08-08"
"Skeena",83.3333333333333,"2025-08-08"
"South Coast",100,"2025-08-08"
"Thompson-Cariboo",100,"2025-08-08"
"West Coast",98.2456140350877,"2025-08-08"
"Province-wide",96.7567567567568,"2025-08-08"
