"Region","percent","report_date"
"Province-wide",90.0826446280992,"2026-08-05"
"West Coast",95.1807228915663,"2026-08-05"
"South Coast",83.0508474576271,"2026-08-05"
"Okanagan-Kootenay",90.3846153846154,"2026-08-05"
"Thompson-Cariboo",95.6521739130435,"2026-08-05"
"Northeast",63.6363636363636,"2026-08-05"
"Omineca",100,"2026-08-05"
"Skeena",100,"2026-08-05"
"Province-wide",91.0798122065728,"2026-02-04"
"West Coast",98.6842105263158,"2026-02-04"
"South Coast",91.0714285714286,"2026-02-04"
"Okanagan-Kootenay",97.1428571428571,"2026-02-04"
"Thompson-Cariboo",100,"2026-02-04"
"Northeast",0,"2026-02-04"
"Omineca",100,"2026-02-04"
"Skeena",83.3333333333333,"2026-02-04"
