"ObsWell","AgeApprovedDat_Months","Well_ID","STATUS","Present in PGOWN Spreadsheet?","Region","age_approval"
"OW485",0.1,485,"Active","yes","South Coast","<7 Months"
"OW451",0.1,451,"Active","yes","South Coast","<7 Months"
"OW406",0.1,406,"Active","yes","South Coast","<7 Months"
"OW353",0.2,353,"Active","yes","South Coast","<7 Months"
"OW396",0.2,396,"Active","yes","West Coast","<7 Months"
"OW397",0.2,397,"Active","yes","West Coast","<7 Months"
"OW507",0.2,507,"Active","yes","West Coast","<7 Months"
"OW311",0.2,311,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW117",0.2,117,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW301",0.2,301,"Active","yes","South Coast","<7 Months"
"OW304",0.2,304,"Active","yes","West Coast","<7 Months"
"OW384",0.2,384,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW394",0.2,394,"Active","yes","West Coast","<7 Months"
"OW275",0.2,275,"Active","yes","South Coast","<7 Months"
"OW392",0.2,392,"Active","yes","West Coast","<7 Months"
"OW395",0.2,395,"Active","yes","West Coast","<7 Months"
"OW393",0.2,393,"Active","yes","West Coast","<7 Months"
"OW458",0.2,458,"Active","yes","South Coast","<7 Months"
"OW483",0.2,483,"Active","yes","South Coast","<7 Months"
"OW217",0.4,217,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW201",0.4,201,"Active","yes","West Coast","<7 Months"
"OW496",0.4,496,"Active","yes","Northeast","<7 Months"
"OW180",0.4,180,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW523",0.4,523,"Active","yes","Northeast","<7 Months"
"OW332",0.5,332,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW115",0.5,115,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW373",0.5,373,"Active","yes","West Coast","<7 Months"
"OW281",0.5,281,"Active","yes","West Coast","<7 Months"
"OW438",0.5,438,"Active","yes","West Coast","<7 Months"
"OW058",0.6,58,"Active","yes","West Coast","<7 Months"
"OW343",0.6,343,"Active","yes","West Coast","<7 Months"
"OW060",0.6,60,"Active","yes","West Coast","<7 Months"
"OW296",0.6,296,"Active","yes","Thompson-Cariboo","<7 Months"
"OW265",0.6,265,"Active","yes","West Coast","<7 Months"
"OW240",0.6,240,"Active","yes","West Coast","<7 Months"
"OW329",0.6,329,"Active","yes","West Coast","<7 Months"
"OW494",0.6,494,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW372",0.7,372,"Active","yes","West Coast","<7 Months"
"OW071",0.7,71,"Active","yes","West Coast","<7 Months"
"OW118",0.7,118,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW204",0.7,204,"Active","yes","West Coast","<7 Months"
"OW211",0.7,211,"Active","yes","West Coast","<7 Months"
"OW470",0.7,470,"Active","yes","West Coast","<7 Months"
"OW487",0.7,487,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW414",0.9,414,"Active","yes","South Coast","<7 Months"
"OW415",0.9,415,"Active","yes","South Coast","<7 Months"
"OW294",1.2,294,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW501",1.3,501,"Active","yes","Skeena","<7 Months"
"OW513",1.3,513,"Active","yes","Skeena","<7 Months"
"OW481",1.3,481,"Active","yes","Northeast","<7 Months"
"OW482",1.3,482,"Active","yes","Northeast","<7 Months"
"OW385",1.4,385,"Active","yes","West Coast","<7 Months"
"OW197",1.4,197,"Active","yes","West Coast","<7 Months"
"OW196",1.4,196,"Active","yes","West Coast","<7 Months"
"OW314",1.4,314,"Active","yes","West Coast","<7 Months"
"OW398",1.5,398,"Active","yes","West Coast","<7 Months"
"OW402",1.5,402,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW502",1.6,502,"Active","yes","Omineca","<7 Months"
"OW503",1.6,503,"Active","yes","South Coast","<7 Months"
"OW473",1.6,473,"Active","yes","South Coast","<7 Months"
"OW427",1.6,427,"Active","yes","West Coast","<7 Months"
"OW425",1.6,425,"Active","yes","West Coast","<7 Months"
"OW388",1.6,388,"Active","yes","West Coast","<7 Months"
"OW045",1.6,45,"Active","yes","Thompson-Cariboo","<7 Months"
"OW272",1.6,272,"Active","yes","South Coast","<7 Months"
"OW400",1.6,400,"Active","yes","Thompson-Cariboo","<7 Months"
"OW391",1.6,391,"Active","yes","West Coast","<7 Months"
"OW387",1.6,387,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW456",1.6,456,"Active","yes","South Coast","<7 Months"
"OW423",1.6,423,"Active","yes","Thompson-Cariboo","<7 Months"
"OW424",1.6,424,"Active","yes","West Coast","<7 Months"
"OW457",1.6,457,"Active","yes","South Coast","<7 Months"
"OW426",1.6,426,"Active","yes","West Coast","<7 Months"
"OW495",1.6,495,"Active","yes","South Coast","<7 Months"
"OW371",1.7,371,"Active","yes","West Coast","<7 Months"
"OW310",1.7,310,"Active","yes","West Coast","<7 Months"
"OW283",1.8,283,"Active","yes","West Coast","<7 Months"
"OW455",1.8,455,"Active","yes","Omineca","<7 Months"
"OW125",1.8,125,"Active","yes","West Coast","<7 Months"
"OW264",1.8,264,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW284",1.8,284,"Active","yes","West Coast","<7 Months"
"OW290",1.8,290,"Active","yes","West Coast","<7 Months"
"OW319",1.8,319,"Active","yes","West Coast","<7 Months"
"OW258",1.8,258,"Active","yes","West Coast","<7 Months"
"OW375",1.8,375,"Active","yes","Thompson-Cariboo","<7 Months"
"OW365",1.8,365,"Active","yes","Thompson-Cariboo","<7 Months"
"OW412",1.8,412,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW327",1.8,327,"Active","yes","West Coast","<7 Months"
"OW484",1.8,484,"Active","yes","West Coast","<7 Months"
"OW508",1.8,508,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW128",1.8,128,"Active","yes","West Coast","<7 Months"
"OW517",2,517,"Active","yes","Omineca","<7 Months"
"OW439",2,439,"Active","yes","West Coast","<7 Months"
"OW080",2,80,"Active","yes","Thompson-Cariboo","<7 Months"
"OW081",2,81,"Active","yes","Thompson-Cariboo","<7 Months"
"OW345",2,345,"Active","yes","West Coast","<7 Months"
"OW475",2,475,"Active","yes","South Coast","<7 Months"
"OW476",2,476,"Active","yes","South Coast","<7 Months"
"OW516",2,516,"Active","yes","Omineca","<7 Months"
"OW505",2,505,"Active","yes","Omineca","<7 Months"
"OW519",2,519,"Active","yes","Omineca","<7 Months"
"OW504",2.1,504,"Active","yes","South Coast","<7 Months"
"OW364",2.1,364,"Active","yes","Thompson-Cariboo","<7 Months"
"OW361",2.1,361,"Active","yes","South Coast","<7 Months"
"OW260",2.1,260,"Active","yes","Thompson-Cariboo","<7 Months"
"OW082",2.1,82,"Active","yes","Thompson-Cariboo","<7 Months"
"OW289",2.1,289,"Active","yes","Thompson-Cariboo","<7 Months"
"OW088",2.1,88,"Active","yes","Thompson-Cariboo","<7 Months"
"OW441",2.1,441,"Active","yes","South Coast","<7 Months"
"OW440",2.1,440,"Active","yes","South Coast","<7 Months"
"OW203",2.2,203,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW306",2.2,306,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW200",2.3,200,"Active","yes","Skeena","<7 Months"
"OW433",2.3,433,"Active","yes","West Coast","<7 Months"
"OW478",2.3,478,"Active","yes","South Coast","<7 Months"
"OW295",2.3,295,"Active","yes","West Coast","<7 Months"
"OW362",2.3,362,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW291",2.3,291,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW321",2.3,321,"Active","yes","West Coast","<7 Months"
"OW303",2.3,303,"Active","yes","West Coast","<7 Months"
"OW309",2.3,309,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW363",2.3,363,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW389",2.3,389,"Active","yes","West Coast","<7 Months"
"OW233",2.3,233,"Active","yes","West Coast","<7 Months"
"OW454",2.3,454,"Active","yes","South Coast","<7 Months"
"OW489",2.3,489,"Active","yes","West Coast","<7 Months"
"OW493",2.3,493,"Active","yes","West Coast","<7 Months"
"OW477",2.3,477,"Active","yes","South Coast","<7 Months"
"OW434",2.3,434,"Active","yes","West Coast","<7 Months"
"OW444",2.3,444,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW468",2.3,468,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW509",2.3,509,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW488",2.3,488,"Active","yes","West Coast","<7 Months"
"OW293",2.4,293,"Active","yes","Omineca","<7 Months"
"OW386",2.5,386,"Active","yes","Skeena","<7 Months"
"OW399",2.5,399,"Active","yes","Thompson-Cariboo","<7 Months"
"OW035",2.5,35,"Active","yes","Thompson-Cariboo","<7 Months"
"OW360",2.5,360,"Active","yes","South Coast","<7 Months"
"OW378",2.5,378,"Active","yes","Omineca","<7 Months"
"OW410",2.7,410,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW122",2.7,122,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW262",2.7,262,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW413",2.7,413,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW377",2.7,377,"Active","yes","Skeena","<7 Months"
"OW381",2.7,381,"Active","yes","Thompson-Cariboo","<7 Months"
"OW520",2.7,520,"Active","yes","Skeena","<7 Months"
"OW461",2.8,461,"Active","yes","South Coast","<7 Months"
"OW390",2.8,390,"Active","yes","West Coast","<7 Months"
"OW356",2.9,356,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW442",2.9,442,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW172",2.9,172,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW236",2.9,236,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW355",2.9,355,"Active","yes","West Coast","<7 Months"
"OW428",2.9,428,"Active","yes","West Coast","<7 Months"
"OW316",2.9,316,"Active","yes","West Coast","<7 Months"
"OW429",2.9,429,"Active","yes","West Coast","<7 Months"
"OW430",2.9,430,"Active","yes","West Coast","<7 Months"
"OW431",2.9,431,"Active","yes","West Coast","<7 Months"
"OW506",3,506,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW292",3,292,"Active","yes","South Coast","<7 Months"
"OW510",3,510,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW460",3,460,"Active","yes","South Coast","<7 Months"
"OW471",3,471,"Active","yes","South Coast","<7 Months"
"OW401",3,401,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW405",3,405,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW407",3,407,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW409",3,409,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW383",3,383,"Active","yes","West Coast","<7 Months"
"OW369",3,369,"Active","yes","West Coast","<7 Months"
"OW499",3,499,"Active","yes","South Coast","<7 Months"
"OW497",3,497,"Active","yes","South Coast","<7 Months"
"OW498",3,498,"Active","yes","South Coast","<7 Months"
"OW467",3,467,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW512",3,512,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW500",3,500,"Active","yes","South Coast","<7 Months"
"OW511",3,511,"Active","yes","South Coast","<7 Months"
"OW521",3,521,"Active","yes","West Coast","<7 Months"
"OW288",3.2,288,"Active","yes","West Coast","<7 Months"
"OW417",3.2,417,"Active","yes","Northeast","<7 Months"
"OW445",3.2,445,"Active","yes","Northeast","<7 Months"
"OW416",3.2,416,"Active","yes","Northeast","<7 Months"
"OW261",3.2,261,"Active","yes","Thompson-Cariboo","<7 Months"
"OW376",3.2,376,"Active","yes","Thompson-Cariboo","<7 Months"
"OW420",3.2,420,"Active","yes","Northeast","<7 Months"
"OW418",3.2,418,"Active","yes","Northeast","<7 Months"
"OW351",3.3,351,"Active","yes","West Coast","<7 Months"
"OW302",3.4,302,"Active","yes","Thompson-Cariboo","<7 Months"
"OW282",3.4,282,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW075",3.4,75,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW357",3.4,357,"Active","yes","South Coast","<7 Months"
"OW374",3.4,374,"Active","yes","Thompson-Cariboo","<7 Months"
"OW403",3.4,403,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW411",3.4,411,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW404",3.4,404,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW490",3.4,490,"Active","yes","South Coast","<7 Months"
"OW436",3.4,436,"Active","yes","West Coast","<7 Months"
"OW422",3.5,422,"Active","yes","Thompson-Cariboo","<7 Months"
"OW232",3.6,232,"Active","yes","West Coast","<7 Months"
"OW340",3.6,340,"Active","yes","West Coast","<7 Months"
"OW154",3.6,154,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW480",3.6,480,"Active","yes","South Coast","<7 Months"
"OW185",3.7,185,"Active","yes","Thompson-Cariboo","<7 Months"
"OW515",3.7,515,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW518",3.7,518,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW514",3.7,514,"Active","yes","Okanagan-Kootenay","<7 Months"
"OW349",3.8,349,"Active","yes","South Coast","<7 Months"
"OW337",3.8,337,"Active","yes","West Coast","<7 Months"
"OW312",3.8,312,"Active","yes","West Coast","<7 Months"
"OW432",3.8,432,"Active","yes","West Coast","<7 Months"
"OW479",3.8,479,"Active","yes","South Coast","<7 Months"
"OW435",3.8,435,"Active","yes","West Coast","<7 Months"
"OW437",3.8,437,"Active","yes","West Coast","<7 Months"
"OW469",4.1,469,"Active","yes","West Coast","<7 Months"
"OW443",4.1,443,"Active","yes","West Coast","<7 Months"
"OW449",4.7,449,"Active","yes","South Coast","<7 Months"
"OW448",4.7,448,"Active","yes","South Coast","<7 Months"
"OW459",4.7,459,"Active","yes","South Coast","<7 Months"
"OW486",4.7,486,"Active","yes","South Coast","<7 Months"
"OW463",4.9,463,"Active","yes","South Coast","<7 Months"
"OW474",4.9,474,"Active","yes","South Coast","<7 Months"
"OW462",4.9,462,"Active","yes","South Coast","<7 Months"
"OW452",4.9,452,"Active","yes","South Coast","<7 Months"
"OW491",4.9,491,"Active","yes","South Coast","<7 Months"
"OW320",5.5,320,"Active","yes","West Coast","<7 Months"
"OW008",5.7,8,"Active","yes","South Coast","<7 Months"
"OW002",5.7,2,"Active","yes","South Coast","<7 Months"
"OW299",5.7,299,"Active","yes","South Coast","<7 Months"
"OW446",5.7,446,"Active","yes","South Coast","<7 Months"
"OW268",5.7,268,"Active","yes","West Coast","<7 Months"
"OW338",6.1,338,"Active","yes","West Coast","<7 Months"
"OW453",6.2,453,"Active","yes","South Coast","<7 Months"
"OW354",6.2,354,"Active","yes","South Coast","<7 Months"
"OW255",6.2,255,"Active","yes","South Coast","<7 Months"
"OW492",6.2,492,"Active","yes","South Coast","<7 Months"
"OW450",6.2,450,"Active","yes","South Coast","<7 Months"
"OW447",6.2,447,"Active","yes","South Coast","<7 Months"
"OW287",6.7,287,"Active","yes","West Coast","<7 Months"
"OW074",8.2,74,"Active","yes","Okanagan-Kootenay","7 - 12 Months"
"OW047",8.9,47,"Active","yes","Okanagan-Kootenay","7 - 12 Months"
"OW464",9.2,464,"Active","yes","Thompson-Cariboo","7 - 12 Months"
"OW124",13.8,124,"Active","yes","Northeast","12 - 24 Months"
"OW286",13.8,286,"Active","yes","Northeast","12 - 24 Months"
