"Region","percent","report_date"
"Northeast",100,"2026-08-05"
"Okanagan-Kootenay",94.2307692307692,"2026-08-05"
"Omineca",100,"2026-08-05"
"Skeena",100,"2026-08-05"
"South Coast",100,"2026-08-05"
"Thompson-Cariboo",95.6521739130435,"2026-08-05"
"West Coast",96.3855421686747,"2026-08-05"
"Province-wide",97.071129707113,"2026-08-05"
"Northeast",72.7272727272727,"2026-02-04"
"Okanagan-Kootenay",96.1538461538462,"2026-02-04"
"Omineca",100,"2026-02-04"
"Skeena",100,"2026-02-04"
"South Coast",96.6101694915254,"2026-02-04"
"Thompson-Cariboo",86.9565217391304,"2026-02-04"
"West Coast",96.3855421686747,"2026-02-04"
"Province-wide",94.5833333333333,"2026-02-04"
