"ObsWell","first_obs","GapHours","Well_ID.x","STATUS.x","Present.in.PGOWN.Spreadsheet.","Well_ID.y","STATUS.y","Present in PGOWN Spreadsheet?","Region","gap_type"
"OW236","1979-03-10T05:00:00.0000000-07:00",0,236,"Active","yes",236,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW240","1979-01-24T05:00:00.0000000-07:00",4,240,"Active","yes",240,"Active","yes","West Coast","< 27 Days"
"OW255","1979-11-19T05:00:00.0000000-07:00",0,255,"Active","yes",255,"Active","yes","South Coast","< 27 Days"
"OW258","1980-03-20T05:00:00.0000000-07:00",0,258,"Active","yes",258,"Active","yes","West Coast","< 27 Days"
"OW260","1980-09-25T13:00:00.0000000-07:00",0,260,"Active","yes",260,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW261","1980-09-05T13:00:00.0000000-07:00",2,261,"Active","yes",261,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW262","1980-08-15T05:00:00.0000000-07:00",0,262,"Active","yes",262,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW264","1980-12-27T13:00:00.0000000-07:00",0,264,"Active","yes",264,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW265","1980-12-01T05:00:00.0000000-07:00",0,265,"Active","yes",265,"Active","yes","West Coast","< 27 Days"
"OW268","1981-03-23T05:00:00.0000000-07:00",0,268,"Active","yes",268,"Active","yes","West Coast","< 27 Days"
"OW272","1981-10-21T05:00:00.0000000-07:00",0,272,"Active","yes",272,"Active","yes","South Coast","< 27 Days"
"OW275","1981-10-07T05:00:00.0000000-07:00",0,275,"Active","yes",275,"Active","yes","South Coast","< 27 Days"
"OW281","1983-01-06T05:00:00.0000000-07:00",2,281,"Active","yes",281,"Active","yes","West Coast","< 27 Days"
"OW282","1983-01-28T05:00:00.0000000-07:00",0,282,"Active","yes",282,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW283","1983-02-15T05:00:00.0000000-07:00",0.333333333333333,283,"Active","yes",283,"Active","yes","West Coast","< 27 Days"
"OW284","1983-02-28T05:00:00.0000000-07:00",0,284,"Active","yes",284,"Active","yes","West Coast","< 27 Days"
"OW287","1984-03-12T05:00:00.0000000-07:00",0,287,"Active","yes",287,"Active","yes","West Coast","< 27 Days"
"OW288","1984-03-13T05:00:00.0000000-07:00",0,288,"Active","yes",288,"Active","yes","West Coast","< 27 Days"
"OW289","1984-03-22T13:00:00.0000000-07:00",1,289,"Active","yes",289,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW290","1985-02-06T05:00:00.0000000-07:00",2.86666666666667,290,"Active","yes",290,"Active","yes","West Coast","< 27 Days"
"OW291","1985-03-05T05:00:00.0000000-07:00",24,291,"Active","yes",291,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW292","1985-03-16T05:00:00.0000000-07:00",0,292,"Active","yes",292,"Active","yes","South Coast","< 27 Days"
"OW293","1986-02-27T13:00:00.0000000-07:00",0,293,"Active","yes",293,"Active","yes","Omineca","< 27 Days"
"OW294","1986-12-30T05:00:00.0000000-07:00",0,294,"Active","yes",294,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW295","1986-11-26T05:00:00.0000000-07:00",0,295,"Active","yes",295,"Active","yes","West Coast","< 27 Days"
"OW296","1989-04-02T13:00:00.0000000-07:00",0,296,"Active","yes",296,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW299","1987-07-16T05:00:00.0000000-07:00",0,299,"Active","yes",299,"Active","yes","South Coast","< 27 Days"
"OW301","1988-04-12T05:00:00.0000000-07:00",0,301,"Active","yes",301,"Active","yes","South Coast","< 27 Days"
"OW302","1988-03-27T13:00:00.0000000-07:00",0,302,"Active","yes",302,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW303","1988-09-08T13:00:00.0000000-07:00",0,303,"Active","yes",303,"Active","yes","West Coast","< 27 Days"
"OW304","1988-10-03T13:00:00.0000000-07:00",0,304,"Active","yes",304,"Active","yes","West Coast","< 27 Days"
"OW306","1989-03-15T05:00:00.0000000-07:00",48.1166666666667,306,"Active","yes",306,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW309","1989-10-19T05:00:00.0000000-07:00",24,309,"Active","yes",309,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW310","1990-02-22T05:00:00.0000000-07:00",1,310,"Active","yes",310,"Active","yes","West Coast","< 27 Days"
"OW311","1991-10-18T13:00:00.0000000-07:00",457,311,"Active","yes",311,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW312","1991-12-04T13:00:00.0000000-07:00",1,312,"Active","yes",312,"Active","yes","West Coast","< 27 Days"
"OW314","1992-01-25T05:00:00.0000000-07:00",0,314,"Active","yes",314,"Active","yes","West Coast","< 27 Days"
"OW316","1992-09-02T05:00:00.0000000-07:00",0,316,"Active","yes",316,"Active","yes","West Coast","< 27 Days"
"OW319","1992-10-04T05:00:00.0000000-07:00",0.333333333333333,319,"Active","yes",319,"Active","yes","West Coast","< 27 Days"
"OW320","1992-10-02T05:00:00.0000000-07:00",241.216666666667,320,"Active","yes",320,"Active","yes","West Coast","< 27 Days"
"OW321","1992-12-15T13:00:00.0000000-07:00",0,321,"Active","yes",321,"Active","yes","West Coast","< 27 Days"
"OW327","1995-04-06T13:00:00.0000000-07:00",0,327,"Active","yes",327,"Active","yes","West Coast","< 27 Days"
"OW329","1995-09-11T05:00:00.0000000-07:00",0,329,"Active","yes",329,"Active","yes","West Coast","< 27 Days"
"OW332","1997-06-12T13:00:00.0000000-07:00",0,332,"Active","yes",332,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW337","1998-09-10T13:00:00.0000000-07:00",0.15,337,"Active","yes",337,"Active","yes","West Coast","< 27 Days"
"OW338","1998-10-07T13:00:00.0000000-07:00",0,338,"Active","yes",338,"Active","yes","West Coast","< 27 Days"
"OW340","1999-06-15T13:00:00.0000000-07:00",0.233333333333333,340,"Active","yes",340,"Active","yes","West Coast","< 27 Days"
"OW343","1998-04-02T05:00:00.0000000-07:00",2,343,"Active","yes",343,"Active","yes","West Coast","< 27 Days"
"OW345","1999-12-13T13:00:00.0000000-07:00",0,345,"Active","yes",345,"Active","yes","West Coast","< 27 Days"
"OW349","2001-03-28T05:00:00.0000000-07:00",0,349,"Active","yes",349,"Active","yes","South Coast","< 27 Days"
"OW351","2001-11-01T13:00:00.0000000-07:00",0,351,"Active","yes",351,"Active","yes","West Coast","< 27 Days"
"OW353","2004-09-09T18:00:00.0000000-07:00",0,353,"Active","yes",353,"Active","yes","South Coast","< 27 Days"
"OW354","2004-12-22T06:00:00.0000000-07:00",0,354,"Active","yes",354,"Active","yes","South Coast","< 27 Days"
"OW355","2004-03-30T11:00:00.0000000-07:00",0,355,"Active","yes",355,"Active","yes","West Coast","< 27 Days"
"OW356","2004-06-01T18:00:00.0000000-07:00",0,356,"Active","yes",356,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW357","2004-09-04T02:00:00.0000000-07:00",1,357,"Active","yes",357,"Active","yes","South Coast","< 27 Days"
"OW360","2004-12-22T18:00:00.0000000-07:00",0,360,"Active","yes",360,"Active","yes","South Coast","< 27 Days"
"OW361","2005-01-21T18:00:00.0000000-07:00",24,361,"Active","yes",361,"Active","yes","South Coast","< 27 Days"
"OW362","2005-04-12T07:00:00.0000000-07:00",24,362,"Active","yes",362,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW363","2005-09-21T07:00:00.0000000-07:00",48,363,"Active","yes",363,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW364","2006-10-19T18:00:00.0000000-07:00",0,364,"Active","yes",364,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW365","2006-04-11T16:00:00.0000000-07:00",3,365,"Active","yes",365,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW369","2006-04-11T14:00:00.0000000-07:00",0,369,"Active","yes",369,"Active","yes","West Coast","< 27 Days"
"OW371","2006-04-11T08:00:00.0000000-07:00",0.916666666666667,371,"Active","yes",371,"Active","yes","West Coast","< 27 Days"
"OW372","2007-07-06T12:00:00.0000000-07:00",3411,372,"Active","yes",372,"Active","yes","West Coast","> 81 Days"
"OW373","2006-04-10T06:00:00.0000000-07:00",195.166666666667,373,"Active","yes",373,"Active","yes","West Coast","< 27 Days"
"OW374","2007-07-26T00:00:00.0000000-07:00",0,374,"Active","yes",374,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW375","2006-07-17T14:00:00.0000000-07:00",0,375,"Active","yes",375,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW376","2006-12-14T02:00:00.0000000-07:00",1,376,"Active","yes",376,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW377","2008-10-09T05:00:00.0000000-07:00",0,377,"Active","yes",377,"Active","yes","Skeena","< 27 Days"
"OW378","2007-07-31T03:10:24.0000000-07:00",0,378,"Active","yes",378,"Active","yes","Omineca","< 27 Days"
"OW381","2008-06-12T15:00:00.0000000-07:00",0,381,"Active","yes",381,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW383","2008-06-26T07:00:00.0000000-07:00",4.33333333333333,383,"Active","yes",383,"Active","yes","West Coast","< 27 Days"
"OW384","2008-04-07T02:00:00.0000000-07:00",0,384,"Active","yes",384,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW385","2010-07-09T13:00:00.0000000-07:00",0,385,"Active","yes",385,"Active","yes","West Coast","< 27 Days"
"OW386","2010-10-08T03:00:00.0000000-07:00",0,386,"Active","yes",386,"Active","yes","Skeena","< 27 Days"
"OW387","2008-11-03T08:00:00.0000000-07:00",25.8166666666667,387,"Active","yes",387,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW388","2010-07-12T09:00:00.0000000-07:00",196,388,"Active","yes",388,"Active","yes","West Coast","< 27 Days"
"OW389","2010-08-06T04:00:00.0000000-07:00",0,389,"Active","yes",389,"Active","yes","West Coast","< 27 Days"
"OW390","2011-09-07T15:00:00.0000000-07:00",0,390,"Active","yes",390,"Active","yes","West Coast","< 27 Days"
"OW391","2011-04-11T06:00:00.0000000-07:00",0,391,"Active","yes",391,"Active","yes","West Coast","< 27 Days"
"OW392","2011-03-29T03:00:00.0000000-07:00",0,392,"Active","yes",392,"Active","yes","West Coast","< 27 Days"
"OW393","2011-03-29T04:00:00.0000000-07:00",0,393,"Active","yes",393,"Active","yes","West Coast","< 27 Days"
"OW394","2012-04-20T11:00:00.0000000-07:00",0,394,"Active","yes",394,"Active","yes","West Coast","< 27 Days"
"OW395","2012-04-20T14:00:00.0000000-07:00",0,395,"Active","yes",395,"Active","yes","West Coast","< 27 Days"
"OW396","2012-04-27T03:00:00.0000000-07:00",0,396,"Active","yes",396,"Active","yes","West Coast","< 27 Days"
"OW397","2012-07-10T06:00:00.0000000-07:00",0,397,"Active","yes",397,"Active","yes","West Coast","< 27 Days"
"OW398","2013-02-19T16:00:00.0000000-07:00",0,398,"Active","yes",398,"Active","yes","West Coast","< 27 Days"
"OW399","2010-08-30T13:00:00.0000000-07:00",0,399,"Active","yes",399,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW400","2012-04-04T13:00:00.0000000-07:00",0,400,"Active","yes",400,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW401","2011-06-25T16:00:00.0000000-07:00",1,401,"Active","yes",401,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW402","2011-08-23T16:00:00.0000000-07:00",0,402,"Active","yes",402,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW403","2011-01-25T08:00:00.0000000-07:00",0,403,"Active","yes",403,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW404","2011-01-25T08:00:00.0000000-07:00",0,404,"Active","yes",404,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW405","2011-06-26T14:00:00.0000000-07:00",0,405,"Active","yes",405,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW406","2010-11-10T16:00:00.0000000-07:00",1,406,"Active","yes",406,"Active","yes","South Coast","< 27 Days"
"OW407","2011-08-23T10:00:00.0000000-07:00",0,407,"Active","yes",407,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW409","2012-09-22T04:00:00.0000000-07:00",0,409,"Active","yes",409,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW410","2012-09-22T04:00:00.0000000-07:00",0,410,"Active","yes",410,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW411","2013-04-11T11:42:51.0000000-07:00",58,411,"Active","yes",411,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW412","2013-10-01T19:00:00.0000000-07:00",4,412,"Active","yes",412,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW413","2014-05-02T15:00:00.0000000-07:00",0,413,"Active","yes",413,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW414","2011-11-01T06:00:00.0000000-07:00",1,414,"Active","yes",414,"Active","yes","South Coast","< 27 Days"
"OW415","2011-11-01T06:00:00.0000000-07:00",0,415,"Active","yes",415,"Active","yes","South Coast","< 27 Days"
"OW416","2013-10-16T03:00:00.0000000-07:00",233,416,"Active","yes",416,"Active","yes","Northeast","< 27 Days"
"OW417","2014-07-24T08:00:00.0000000-07:00",0,417,"Active","yes",417,"Active","yes","Northeast","< 27 Days"
"OW418","2012-10-25T09:00:00.0000000-07:00",0,418,"Active","yes",418,"Active","yes","Northeast","< 27 Days"
"OW420","2012-10-29T09:00:00.0000000-07:00",0,420,"Active","yes",420,"Active","yes","Northeast","< 27 Days"
"OW422","2011-06-15T13:00:00.0000000-07:00",1,422,"Active","yes",422,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW423","2012-04-04T13:00:00.0000000-07:00",0,423,"Active","yes",423,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW424","2013-01-04T08:00:00.0000000-07:00",0,424,"Active","yes",424,"Active","yes","West Coast","< 27 Days"
"OW425","2013-05-03T12:00:00.0000000-07:00",0,425,"Active","yes",425,"Active","yes","West Coast","< 27 Days"
"OW426","2013-03-13T14:00:00.0000000-07:00",0,426,"Active","yes",426,"Active","yes","West Coast","< 27 Days"
"OW427","2013-10-23T16:00:00.0000000-07:00",0,427,"Active","yes",427,"Active","yes","West Coast","< 27 Days"
"OW428","2013-05-02T16:00:00.0000000-07:00",0.133333333333333,428,"Active","yes",428,"Active","yes","West Coast","< 27 Days"
"OW429","2013-09-10T15:00:00.0000000-07:00",1.05,429,"Active","yes",429,"Active","yes","West Coast","< 27 Days"
"OW430","2013-06-29T02:00:00.0000000-07:00",0,430,"Active","yes",430,"Active","yes","West Coast","< 27 Days"
"OW431","2013-05-02T15:00:00.0000000-07:00",0,431,"Active","yes",431,"Active","yes","West Coast","< 27 Days"
"OW432","2013-04-04T06:00:00.0000000-07:00",0.55,432,"Active","yes",432,"Active","yes","West Coast","< 27 Days"
"OW433","2013-09-03T12:00:00.0000000-07:00",0,433,"Active","yes",433,"Active","yes","West Coast","< 27 Days"
"OW434","2013-04-03T15:00:00.0000000-07:00",1.63333333333333,434,"Active","yes",434,"Active","yes","West Coast","< 27 Days"
"OW435","2013-09-16T07:00:00.0000000-07:00",1,435,"Active","yes",435,"Active","yes","West Coast","< 27 Days"
"OW436","2015-12-22T16:00:00.0000000-07:00",6,436,"Active","yes",436,"Active","yes","West Coast","< 27 Days"
"OW437","2015-12-22T15:16:24.0000000-07:00",741,437,"Active","yes",437,"Active","yes","West Coast","27 - 54 Days"
"OW438","2014-02-20T15:00:00.0000000-07:00",0,438,"Active","yes",438,"Active","yes","West Coast","< 27 Days"
"OW439","2017-03-22T15:00:00.0000000-07:00",24,439,"Active","yes",439,"Active","yes","West Coast","< 27 Days"
"OW440","2017-11-06T16:00:00.0000000-07:00",0,440,"Active","yes",440,"Active","yes","South Coast","< 27 Days"
"OW441","2013-07-12T13:00:28.0000000-07:00",0,441,"Active","yes",441,"Active","yes","South Coast","< 27 Days"
"OW442","2014-07-17T08:00:00.0000000-07:00",0,442,"Active","yes",442,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW443","2018-04-13T13:00:00.0000000-07:00",0,443,"Active","yes",443,"Active","yes","West Coast","< 27 Days"
"OW444","2018-04-10T10:00:00.0000000-07:00",24.15,444,"Active","yes",444,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW445","2014-03-26T12:00:00.0000000-07:00",0,445,"Active","yes",445,"Active","yes","Northeast","< 27 Days"
"OW446","2013-03-13T06:00:00.0000000-07:00",0,446,"Active","yes",446,"Active","yes","South Coast","< 27 Days"
"OW447","2013-07-25T23:00:00.0000000-07:00",0,447,"Active","yes",447,"Active","yes","South Coast","< 27 Days"
"OW448","2013-04-11T04:00:00.0000000-07:00",0,448,"Active","yes",448,"Active","yes","South Coast","< 27 Days"
"OW449","2013-04-11T05:00:00.0000000-07:00",0,449,"Active","yes",449,"Active","yes","South Coast","< 27 Days"
"OW450","2014-04-10T08:00:00.0000000-07:00",1,450,"Active","yes",450,"Active","yes","South Coast","< 27 Days"
"OW451","2014-03-25T06:00:00.0000000-07:00",1,451,"Active","yes",451,"Active","yes","South Coast","< 27 Days"
"OW452","2014-08-26T12:00:00.0000000-07:00",0,452,"Active","yes",452,"Active","yes","South Coast","< 27 Days"
"OW453","2014-10-14T05:00:00.0000000-07:00",0,453,"Active","yes",453,"Active","yes","South Coast","< 27 Days"
"OW454","2015-03-24T16:00:00.0000000-07:00",0,454,"Active","yes",454,"Active","yes","South Coast","< 27 Days"
"OW455","2017-10-06T04:00:00.0000000-07:00",1,455,"Active","yes",455,"Active","yes","Omineca","< 27 Days"
"OW456","2017-01-12T16:00:00.0000000-07:00",1,456,"Active","yes",456,"Active","yes","South Coast","< 27 Days"
"OW457","2017-01-05T15:00:00.0000000-07:00",0,457,"Active","yes",457,"Active","yes","South Coast","< 27 Days"
"OW458","2014-10-08T17:30:00.0000000-07:00",1,458,"Active","yes",458,"Active","yes","South Coast","< 27 Days"
"OW459","2017-12-21T16:00:00.0000000-07:00",0,459,"Active","yes",459,"Active","yes","South Coast","< 27 Days"
"OW460","2010-04-13T13:00:00.0000000-07:00",0,460,"Active","yes",460,"Active","yes","South Coast","< 27 Days"
"OW461","2017-11-28T05:00:00.0000000-07:00",2,461,"Active","yes",461,"Active","yes","South Coast","< 27 Days"
"OW462","2018-03-17T08:00:00.0000000-07:00",0,462,"Active","yes",462,"Active","yes","South Coast","< 27 Days"
"OW463","2017-12-06T19:00:00.0000000-07:00",0,463,"Active","yes",463,"Active","yes","South Coast","< 27 Days"
"OW464","2007-10-10T15:00:00.0000000-07:00",0,464,"Active","yes",464,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW467","2018-04-27T12:00:00.0000000-07:00",0,467,"Active","yes",467,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW468","2018-04-11T14:00:00.0000000-07:00",0,468,"Active","yes",468,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW469","2018-04-13T13:00:00.0000000-07:00",1,469,"Active","yes",469,"Active","yes","West Coast","< 27 Days"
"OW470","2018-04-12T01:00:00.0000000-07:00",0,470,"Active","yes",470,"Active","yes","West Coast","< 27 Days"
"OW471","2018-03-22T17:00:00.0000000-07:00",0,471,"Active","yes",471,"Active","yes","South Coast","< 27 Days"
"OW473","2019-04-01T18:00:00.0000000-07:00",0,473,"Active","yes",473,"Active","yes","South Coast","< 27 Days"
"OW474","2018-07-17T17:00:00.0000000-07:00",0,474,"Active","yes",474,"Active","yes","South Coast","< 27 Days"
"OW475","2018-08-28T16:00:00.0000000-07:00",132,475,"Active","yes",475,"Active","yes","South Coast","< 27 Days"
"OW476","2018-08-29T17:00:00.0000000-07:00",0,476,"Active","yes",476,"Active","yes","South Coast","< 27 Days"
"OW477","2018-07-19T17:00:00.0000000-07:00",1,477,"Active","yes",477,"Active","yes","South Coast","< 27 Days"
"OW478","2018-08-30T17:00:00.0000000-07:00",0,478,"Active","yes",478,"Active","yes","South Coast","< 27 Days"
"OW479","2018-11-21T18:00:00.0000000-07:00",0,479,"Active","yes",479,"Active","yes","South Coast","< 27 Days"
"OW480","2018-06-19T18:00:00.0000000-07:00",0,480,"Active","yes",480,"Active","yes","South Coast","< 27 Days"
"OW481","2021-06-03T12:00:00.0000000-07:00",0,481,"Active","yes",481,"Active","yes","Northeast","< 27 Days"
"OW482","2018-11-20T15:00:00.0000000-07:00",385,482,"Active","yes",482,"Active","yes","Northeast","< 27 Days"
"OW483","2019-01-14T16:00:00.0000000-07:00",0,483,"Active","yes",483,"Active","yes","South Coast","< 27 Days"
"OW484","2018-06-07T10:00:00.0000000-07:00",0,484,"Active","yes",484,"Active","yes","West Coast","< 27 Days"
"OW485","2019-01-23T07:00:00.0000000-07:00",0,485,"Active","yes",485,"Active","yes","South Coast","< 27 Days"
"OW486","2019-01-23T17:00:00.0000000-07:00",0,486,"Active","yes",486,"Active","yes","South Coast","< 27 Days"
"OW487","2020-03-12T13:00:00.0000000-07:00",0,487,"Active","yes",487,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW488","2019-03-18T14:00:00.0000000-07:00",0,488,"Active","yes",488,"Active","yes","West Coast","< 27 Days"
"OW489","2019-03-18T14:00:00.0000000-07:00",0,489,"Active","yes",489,"Active","yes","West Coast","< 27 Days"
"OW490","2016-05-09T16:00:00.0000000-07:00",3,490,"Active","yes",490,"Active","yes","South Coast","< 27 Days"
"OW491","2020-03-19T12:00:00.0000000-07:00",0,491,"Active","yes",491,"Active","yes","South Coast","< 27 Days"
"OW492","2020-06-08T14:00:00.0000000-07:00",2,492,"Active","yes",492,"Active","yes","South Coast","< 27 Days"
"OW493","2020-03-13T14:00:00.0000000-07:00",0,493,"Active","yes",493,"Active","yes","West Coast","< 27 Days"
"OW494","2019-06-20T13:00:00.0000000-07:00",0.1,494,"Active","yes",494,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW495","2018-05-24T17:00:00.0000000-07:00",0,495,"Active","yes",495,"Active","yes","South Coast","< 27 Days"
"OW496","2021-06-03T14:00:00.0000000-07:00",582,496,"Active","yes",496,"Active","yes","Northeast","< 27 Days"
"OW497","2021-08-31T19:00:00.0000000-07:00",0,497,"Active","yes",497,"Active","yes","South Coast","< 27 Days"
"OW498","2021-03-11T14:00:00.0000000-07:00",0,498,"Active","yes",498,"Active","yes","South Coast","< 27 Days"
"OW499","2021-03-11T15:00:00.0000000-07:00",0,499,"Active","yes",499,"Active","yes","South Coast","< 27 Days"
"OW500","2019-10-23T12:00:00.0000000-07:00",0,500,"Active","yes",500,"Active","yes","South Coast","< 27 Days"
"OW501","2022-03-23T13:00:00.0000000-07:00",0,501,"Active","yes",501,"Active","yes","Skeena","< 27 Days"
"OW502","2021-03-20T18:00:00.0000000-07:00",1,502,"Active","yes",502,"Active","yes","Omineca","< 27 Days"
"OW503","2022-03-29T15:00:00.0000000-07:00",23,503,"Active","yes",503,"Active","yes","South Coast","< 27 Days"
"OW504","2022-12-14T02:00:00.0000000-07:00",0,504,"Active","yes",504,"Active","yes","South Coast","< 27 Days"
"OW506","2021-11-18T14:30:00.0000000-07:00",0,506,"Active","yes",506,"Active","yes","Okanagan-Kootenay","< 27 Days"
