"ObsWell","first_obs","GapHours","Well_ID.x","STATUS.x","Present.in.PGOWN.Spreadsheet.","Well_ID.y","STATUS.y","Present in PGOWN Spreadsheet?","Region","gap_type"
"OW002","1962-03-01T05:00:00.0000000-07:00",0,2,"Active","yes",2,"Active","yes","South Coast","< 27 Days"
"OW008","1962-02-13T05:00:00.0000000-07:00",1,8,"Active","yes",8,"Active","yes","South Coast","< 27 Days"
"OW035","1968-01-11T13:00:00.0000000-07:00",0,35,"Active","yes",35,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW045","1965-11-30T13:00:00.0000000-07:00",4,45,"Active","yes",45,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW047","1965-11-17T13:00:00.0000000-07:00",1320,47,"Active","yes",47,"Active","yes","Okanagan-Kootenay","54 - 81 Days"
"OW058","1966-09-16T05:00:00.0000000-07:00",0,58,"Active","yes",58,"Active","yes","West Coast","< 27 Days"
"OW060","1966-09-28T05:00:00.0000000-07:00",201,60,"Active","yes",60,"Active","yes","West Coast","< 27 Days"
"OW071","1976-05-17T13:00:00.0000000-07:00",0,71,"Active","yes",71,"Active","yes","West Coast","< 27 Days"
"OW074","1966-11-30T13:00:00.0000000-07:00",818,74,"Active","yes",74,"Active","yes","Okanagan-Kootenay","27 - 54 Days"
"OW075","1967-03-12T05:00:00.0000000-07:00",0,75,"Active","yes",75,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW080","1971-09-08T13:00:00.0000000-07:00",0,80,"Active","yes",80,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW081","1967-06-26T13:00:00.0000000-07:00",0,81,"Active","yes",81,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW082","1967-10-12T01:00:00.0000000-07:00",1,82,"Active","yes",82,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW088","1971-10-06T13:00:00.0000000-07:00",3264,88,"Active","yes",88,"Active","yes","Thompson-Cariboo","> 81 Days"
"OW115","1973-09-29T01:00:00.0000000-07:00",280,115,"Active","yes",115,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW117","1971-08-13T05:00:00.0000000-07:00",30,117,"Active","yes",117,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW118","1971-08-10T05:00:00.0000000-07:00",0,118,"Active","yes",118,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW122","1971-10-02T05:00:00.0000000-07:00",0,122,"Active","yes",122,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW124","1971-10-18T05:00:00.0000000-07:00",0,124,"Active","yes",124,"Active","yes","Northeast","< 27 Days"
"OW125","1971-12-25T05:00:00.0000000-07:00",0.566666666666667,125,"Active","yes",125,"Active","yes","West Coast","< 27 Days"
"OW128","1972-11-28T13:00:00.0000000-07:00",0.116666666666667,128,"Active","yes",128,"Active","yes","West Coast","< 27 Days"
"OW154","1969-09-15T13:00:00.0000000-07:00",450,154,"Active","yes",154,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW172","1977-08-31T05:00:00.0000000-07:00",0,172,"Active","yes",172,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW180","1975-05-30T05:00:00.0000000-07:00",0,180,"Active","yes",180,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW185","1974-07-15T05:00:00.0000000-07:00",41,185,"Active","yes",185,"Active","yes","Thompson-Cariboo","< 27 Days"
"OW196","1973-10-01T05:00:00.0000000-07:00",24,196,"Active","yes",196,"Active","yes","West Coast","< 27 Days"
"OW197","1973-08-01T13:00:00.0000000-07:00",0,197,"Active","yes",197,"Active","yes","West Coast","< 27 Days"
"OW200","1974-09-22T05:00:00.0000000-07:00",0,200,"Active","yes",200,"Active","yes","Skeena","< 27 Days"
"OW201","1975-02-25T05:00:00.0000000-07:00",72,201,"Active","yes",201,"Active","yes","West Coast","< 27 Days"
"OW203","1977-03-11T05:00:00.0000000-07:00",1345,203,"Active","yes",203,"Active","yes","Okanagan-Kootenay","54 - 81 Days"
"OW204","1977-01-18T13:00:00.0000000-07:00",0,204,"Active","yes",204,"Active","yes","West Coast","< 27 Days"
"OW211","1976-10-21T13:00:00.0000000-07:00",0,211,"Active","yes",211,"Active","yes","West Coast","< 27 Days"
"OW217","1977-05-31T05:00:00.0000000-07:00",48,217,"Active","yes",217,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW232","1979-11-30T05:00:00.0000000-07:00",0.366666666666667,232,"Active","yes",232,"Active","yes","West Coast","< 27 Days"
"OW233","1986-03-07T13:00:00.0000000-07:00",0,233,"Active","yes",233,"Active","yes","West Coast","< 27 Days"
