"ObsWell","TotalDataPts","Graded","Approved","per.approved.also.graded","Well_ID","STATUS","Present in PGOWN Spreadsheet?","Region","type"
"OW002",6195,6067,1049,578.360343183985,2,"Active","yes","South Coast","Issues exist with grading or approval"
"OW008",6192,6065,1049,578.169685414681,8,"Active","yes","South Coast","Issues exist with grading or approval"
"OW035",3380,3380,3379,100.029594554602,35,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW045",4003,4003,4003,100,45,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW047",NA,NA,NA,NA,47,"Active","yes","Okanagan-Kootenay","No data has been appended in the past 7 months"
"OW058",6199,4747,4746,100.021070375053,58,"Active","yes","West Coast","Data has been approved and graded"
"OW060",6202,4748,4747,100.021065936381,60,"Active","yes","West Coast","Data has been approved and graded"
"OW071",5419,5419,5419,100,71,"Active","yes","West Coast","Data has been approved and graded"
"OW074",NA,NA,NA,NA,74,"Active","yes","Okanagan-Kootenay","No data has been appended in the past 7 months"
"OW075",6214,2736,2737,99.9634636463281,75,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW080",3715,3715,3715,100,80,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW081",3714,3714,3713,100.026932399677,81,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW082",3689,3689,3688,100.027114967462,82,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW088",840,840,840,100,88,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW115",6177,4851,4851,100,115,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW117",5084,5084,5084,100,117,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW118",6193,4728,4727,100.021155066638,118,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW122",6169,3214,3214,100,122,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW124",4767,0,0,NA,124,"Active","yes","Northeast","Issues exist with grading or approval"
"OW125",3885,3885,3884,100.025746652935,125,"Active","yes","West Coast","Data has been approved and graded"
"OW128",6205,3886,3885,100.02574002574,128,"Active","yes","West Coast","Data has been approved and graded"
"OW154",NA,NA,NA,NA,154,"Active","yes","Okanagan-Kootenay","No data has been appended in the past 7 months"
"OW172",6159,3070,3070,100,172,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW180",6144,4892,4892,100,180,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW185",6185,2540,2540,100,185,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW196",6211,4193,4194,99.9761564139247,196,"Active","yes","West Coast","Data has been approved and graded"
"OW197",6209,4196,4195,100.023837902265,197,"Active","yes","West Coast","Data has been approved and graded"
"OW200",6154,3503,3504,99.9714611872146,200,"Active","yes","Skeena","Data has been approved and graded"
"OW201",6204,4939,4938,100.020251113811,201,"Active","yes","West Coast","Data has been approved and graded"
"OW203",5343,2732,2732,100,203,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW204",4727,4727,4727,100,204,"Active","yes","West Coast","Data has been approved and graded"
"OW211",4724,4724,4724,100,211,"Active","yes","West Coast","Data has been approved and graded"
"OW217",6210,4917,4917,100,217,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW232",2587,2587,2587,100,232,"Active","yes","West Coast","Data has been approved and graded"
"OW233",3547,3547,3547,100,233,"Active","yes","West Coast","Data has been approved and graded"
"OW236",6214,3073,3073,100,236,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW240",6195,4749,4749,100,240,"Active","yes","West Coast","Data has been approved and graded"
"OW255",5420,5420,5419,100.018453589223,255,"Active","yes","South Coast","Data has been approved and graded"
"OW258",6205,3880,3880,100,258,"Active","yes","West Coast","Data has been approved and graded"
"OW260",3693,3693,3693,100,260,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW261",3695,2854,2853,100.035050823694,261,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW262",6177,3237,3237,100,262,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW264",3883,3883,3883,100,264,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW265",1576,1576,1576,100,265,"Active","yes","West Coast","Data has been approved and graded"
"OW268",6214,5588,1054,530.170777988615,268,"Active","yes","West Coast","Issues exist with grading or approval"
"OW272",6194,4006,4005,100.024968789014,272,"Active","yes","South Coast","Data has been approved and graded"
"OW275",6194,5085,5084,100.019669551534,275,"Active","yes","South Coast","Data has been approved and graded"
"OW281",6201,4863,4862,100.020567667626,281,"Active","yes","West Coast","Data has been approved and graded"
"OW282",6199,2734,2734,100,282,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW283",6007,3713,3712,100.026939655172,283,"Active","yes","West Coast","Data has been approved and graded"
"OW284",6112,3904,3904,100,284,"Active","yes","West Coast","Data has been approved and graded"
"OW286",NA,NA,NA,NA,286,"Active","yes","Northeast","No data has been appended in the past 7 months"
"OW287",4076,4076,310,1314.83870967742,287,"Active","yes","West Coast","Issues exist with grading or approval"
"OW288",6190,5571,2898,192.23602484472,288,"Active","yes","West Coast","Issues exist with grading or approval"
"OW289",3695,3695,3695,100,289,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW290",6202,3858,3857,100.025926886181,290,"Active","yes","West Coast","Data has been approved and graded"
"OW291",6198,3546,3545,100.028208744711,291,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
