"ObsWell","TotalDataPts","Graded","Approved","per.approved.also.graded","Well_ID","STATUS","Present in PGOWN Spreadsheet?","Region","type"
"OW292",3014,3014,3014,100,292,"Active","yes","South Coast","Data has been approved and graded"
"OW293",6175,3427,3427,100,293,"Active","yes","Omineca","Data has been approved and graded"
"OW294",6205,5871,4362,134.594222833563,294,"Active","yes","Okanagan-Kootenay","Issues exist with grading or approval"
"OW295",6201,3523,3523,100,295,"Active","yes","West Coast","Data has been approved and graded"
"OW296",6208,4750,4750,100,296,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW299",6195,6065,1050,577.619047619048,299,"Active","yes","South Coast","Issues exist with grading or approval"
"OW301",6187,5077,5075,100.039408866995,301,"Active","yes","South Coast","Data has been approved and graded"
"OW302",2732,2732,2731,100.036616623947,302,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW303",3525,3525,3524,100.028376844495,303,"Active","yes","West Coast","Data has been approved and graded"
"OW304",5086,5086,5085,100.019665683382,304,"Active","yes","West Coast","Data has been approved and graded"
"OW306",6211,3597,3597,100,306,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW309",6190,3550,3550,100,309,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW310",6200,4001,4000,100.025,310,"Active","yes","West Coast","Data has been approved and graded"
"OW311",1176,1169,1176,99.4047619047619,311,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW312",2416,2416,2416,100,312,"Active","yes","West Coast","Data has been approved and graded"
"OW314",6204,4079,4211,96.8653526478271,314,"Active","yes","West Coast","Issues exist with grading or approval"
"OW316",6210,3092,3090,100.064724919094,316,"Active","yes","West Coast","Data has been approved and graded"
"OW319",6197,3862,3862,100,319,"Active","yes","West Coast","Data has been approved and graded"
"OW320",6018,5064,5063,100.01975113569,320,"Active","yes","West Coast","Data has been approved and graded"
"OW321",3526,3526,3525,100.028368794326,321,"Active","yes","West Coast","Data has been approved and graded"
"OW327",3882,3882,3881,100.025766555012,327,"Active","yes","West Coast","Data has been approved and graded"
"OW329",6208,4776,4775,100.020942408377,329,"Active","yes","West Coast","Data has been approved and graded"
"OW332",4864,4864,4864,100,332,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW337",2420,2420,2419,100.041339396445,337,"Active","yes","West Coast","Data has been approved and graded"
"OW338",3146,3146,3146,100,338,"Active","yes","West Coast","Data has been approved and graded"
"OW340",2588,2588,2587,100.038654812524,340,"Active","yes","West Coast","Data has been approved and graded"
"OW343",6200,4749,4749,100,343,"Active","yes","West Coast","Data has been approved and graded"
"OW345",3764,3764,3763,100.026574541589,345,"Active","yes","West Coast","Data has been approved and graded"
"OW349",2417,2417,2416,100.041390728477,349,"Active","yes","South Coast","Data has been approved and graded"
"OW351",2829,2829,2829,100,351,"Active","yes","West Coast","Data has been approved and graded"
"OW353",6073,5085,5083,100.039346842416,353,"Active","yes","South Coast","Data has been approved and graded"
"OW354",6194,646,646,100,354,"Active","yes","South Coast","Data has been approved and graded"
"OW355",6158,3066,3066,100,355,"Active","yes","West Coast","Data has been approved and graded"
"OW356",6208,3071,3071,100,356,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW357",2755,2755,2754,100.036310820625,357,"Active","yes","South Coast","Data has been approved and graded"
"OW360",6179,3377,3376,100.029620853081,360,"Active","yes","South Coast","Data has been approved and graded"
"OW361",6148,3668,3667,100.027270248159,361,"Active","yes","South Coast","Data has been approved and graded"
"OW362",6172,3547,3547,100,362,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW363",6197,3548,3548,100,363,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW364",6206,3692,3692,100,364,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW365",3883,3883,3882,100.025759917568,365,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW369",3018,3018,3018,100,369,"Active","yes","West Coast","Data has been approved and graded"
"OW371",6206,4004,4003,100.024981264052,371,"Active","yes","West Coast","Data has been approved and graded"
"OW372",4004,4004,4004,100,372,"Active","yes","West Coast","Data has been approved and graded"
"OW373",6203,4864,4864,100,373,"Active","yes","West Coast","Data has been approved and graded"
"OW374",2754,2754,2753,100.036324010171,374,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW375",3907,3907,3906,100.025601638505,375,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW376",2872,2872,2871,100.034831069314,376,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW377",6171,3243,3235,100.247295208655,377,"Active","yes","Skeena","Data has been approved and graded"
"OW378",6183,3427,3408,100.557511737089,378,"Active","yes","Omineca","Data has been approved and graded"
"OW381",3211,3211,3210,100.031152647975,381,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW383",5191,3019,3019,100,383,"Active","yes","West Coast","Data has been approved and graded"
"OW384",6215,5086,5086,100,384,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW385",6217,4195,4194,100.023843586075,385,"Active","yes","West Coast","Data has been approved and graded"
"OW386",6196,3383,3382,100.029568302779,386,"Active","yes","Skeena","Data has been approved and graded"
"OW387",6215,4027,4027,100,387,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW388",5458,4051,4049,100.049394912324,388,"Active","yes","West Coast","Data has been approved and graded"
"OW389",6202,3523,3522,100.028392958546,389,"Active","yes","West Coast","Data has been approved and graded"
"OW390",6095,3166,3165,100.031595576619,390,"Active","yes","West Coast","Data has been approved and graded"
"OW391",6196,3999,3998,100.025012506253,391,"Active","yes","West Coast","Data has been approved and graded"
"OW392",5087,5087,5086,100.019661816752,392,"Active","yes","West Coast","Data has been approved and graded"
"OW393",4862,4862,4862,100,393,"Active","yes","West Coast","Data has been approved and graded"
"OW394",5084,5084,5084,100,394,"Active","yes","West Coast","Data has been approved and graded"
"OW395",5088,5088,5088,100,395,"Active","yes","West Coast","Data has been approved and graded"
"OW396",6206,5085,5084,100.019669551534,396,"Active","yes","West Coast","Data has been approved and graded"
"OW397",6207,5084,5083,100.019673421208,397,"Active","yes","West Coast","Data has been approved and graded"
"OW398",4079,4079,4078,100.024521824424,398,"Active","yes","West Coast","Data has been approved and graded"
"OW399",3403,3403,3403,100,399,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW400",4074,4074,4074,100,400,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW401",6208,3016,3016,100,401,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW402",6198,4079,4079,100,402,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW403",6173,2735,2735,100,403,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW404",6174,2735,2735,100,404,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW405",6213,3022,3022,100,405,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW406",6177,5084,5083,100.019673421208,406,"Active","yes","South Coast","Data has been approved and graded"
"OW407",6198,3022,3021,100.033101621979,407,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW409",6204,3046,3045,100.032840722496,409,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW410",6204,3236,3236,100,410,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW411",6155,2732,2732,100,411,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW412",6205,3890,3890,100,412,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW413",6178,3237,3237,100,413,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW414",5911,5661,4299,131.681786461968,414,"Active","yes","South Coast","Issues exist with grading or approval"
"OW415",6190,5941,4579,129.744485695567,415,"Active","yes","South Coast","Issues exist with grading or approval"
"OW416",6199,2845,2845,100,416,"Active","yes","Northeast","Data has been approved and graded"
"OW417",6160,2853,2854,99.9649614576034,417,"Active","yes","Northeast","Data has been approved and graded"
"OW418",2874,2874,2874,100,418,"Active","yes","Northeast","Data has been approved and graded"
"OW420",6207,2854,2853,100.035050823694,420,"Active","yes","Northeast","Data has been approved and graded"
"OW422",2685,2685,2684,100.037257824143,422,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW423",4074,4074,4074,100,423,"Active","yes","Thompson-Cariboo","Data has been approved and graded"
"OW424",6186,4074,4073,100.024551927326,424,"Active","yes","West Coast","Data has been approved and graded"
"OW425",4006,4005,4005,100,425,"Active","yes","West Coast","Data has been approved and graded"
"OW426",4006,4006,4005,100.024968789014,426,"Active","yes","West Coast","Data has been approved and graded"
"OW427",4005,4005,4004,100.024975024975,427,"Active","yes","West Coast","Data has been approved and graded"
"OW428",3067,3067,3067,100,428,"Active","yes","West Coast","Data has been approved and graded"
"OW429",3067,3067,3067,100,429,"Active","yes","West Coast","Data has been approved and graded"
"OW430",3069,3069,3068,100.03259452412,430,"Active","yes","West Coast","Data has been approved and graded"
"OW431",3069,3069,3068,100.03259452412,431,"Active","yes","West Coast","Data has been approved and graded"
"OW432",2421,2421,2421,100,432,"Active","yes","West Coast","Data has been approved and graded"
"OW433",3524,3524,3524,100,433,"Active","yes","West Coast","Data has been approved and graded"
"OW434",3524,3524,3524,100,434,"Active","yes","West Coast","Data has been approved and graded"
"OW435",2417,2417,2417,100,435,"Active","yes","West Coast","Data has been approved and graded"
"OW436",2728,2728,2728,100,436,"Active","yes","West Coast","Data has been approved and graded"
"OW437",2415,2415,2415,100,437,"Active","yes","West Coast","Data has been approved and graded"
"OW438",6144,4864,4864,100,438,"Active","yes","West Coast","Data has been approved and graded"
"OW439",6209,5416,5416,100,439,"Active","yes","West Coast","Data has been approved and graded"
"OW440",6212,3694,3693,100.02707825616,440,"Active","yes","South Coast","Data has been approved and graded"
"OW441",6214,3690,3690,100,441,"Active","yes","South Coast","Data has been approved and graded"
"OW442",6212,3072,3072,100,442,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW443",5251,5251,5251,100,443,"Active","yes","West Coast","Data has been approved and graded"
"OW444",6193,3499,3499,100,444,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW445",6190,2878,2876,100.069541029207,445,"Active","yes","Northeast","Data has been approved and graded"
"OW446",6050,5788,1052,550.190114068441,446,"Active","yes","South Coast","Issues exist with grading or approval"
"OW447",5944,5944,643,924.416796267496,447,"Active","yes","South Coast","Issues exist with grading or approval"
"OW448",6104,1746,1745,100.057306590258,448,"Active","yes","South Coast","Data has been approved and graded"
"OW449",6186,1745,1744,100.057339449541,449,"Active","yes","South Coast","Data has been approved and graded"
"OW450",6204,5421,5420,100.018450184502,450,"Active","yes","South Coast","Data has been approved and graded"
"OW451",6196,5107,5106,100.019584802194,451,"Active","yes","South Coast","Data has been approved and graded"
"OW452",6201,6069,1650,367.818181818182,452,"Active","yes","South Coast","Issues exist with grading or approval"
"OW453",6159,6027,646,932.97213622291,453,"Active","yes","South Coast","Issues exist with grading or approval"
"OW454",6175,3546,3545,100.028208744711,454,"Active","yes","South Coast","Data has been approved and graded"
"OW455",6188,3884,3884,100,455,"Active","yes","Omineca","Data has been approved and graded"
"OW456",4006,4006,4005,100.024968789014,456,"Active","yes","South Coast","Data has been approved and graded"
"OW457",6210,4005,4004,100.024975024975,457,"Active","yes","South Coast","Data has been approved and graded"
"OW458",4270,4270,4270,100,458,"Active","yes","South Coast","Data has been approved and graded"
"OW459",6215,1749,1748,100.057208237986,459,"Active","yes","South Coast","Data has been approved and graded"
"OW460",6214,3016,3015,100.033167495854,460,"Active","yes","South Coast","Data has been approved and graded"
"OW461",3164,0,3163,0,461,"Active","yes","South Coast","Issues exist with grading or approval"
"OW462",6152,1654,1653,100.060496067756,462,"Active","yes","South Coast","Data has been approved and graded"
"OW463",6173,1652,1651,100.060569351908,463,"Active","yes","South Coast","Data has been approved and graded"
"OW464",3211,3211,0,Inf,464,"Active","yes","Thompson-Cariboo","Issues exist with grading or approval"
"OW467",6169,3020,3020,100,467,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW468",5083,3527,3527,100,468,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW469",6205,5250,5250,100,469,"Active","yes","West Coast","Data has been approved and graded"
"OW470",5465,5057,5057,100,470,"Active","yes","West Coast","Data has been approved and graded"
"OW471",3039,3039,3030,100.29702970297,471,"Active","yes","South Coast","Data has been approved and graded"
"OW473",6196,4026,4025,100.024844720497,473,"Active","yes","South Coast","Data has been approved and graded"
"OW474",1653,1653,1652,100.060532687651,474,"Active","yes","South Coast","Data has been approved and graded"
"OW475",6170,3740,3739,100.026745119016,475,"Active","yes","South Coast","Data has been approved and graded"
"OW476",6145,3740,3739,100.026745119016,476,"Active","yes","South Coast","Data has been approved and graded"
"OW477",6172,3548,3547,100.028192839019,477,"Active","yes","South Coast","Data has been approved and graded"
"OW478",6171,3549,3548,100.028184892897,478,"Active","yes","South Coast","Data has been approved and graded"
"OW479",6174,2419,2419,100,479,"Active","yes","South Coast","Data has been approved and graded"
"OW480",2563,2563,2563,100,480,"Active","yes","South Coast","Data has been approved and graded"
"OW481",4244,4244,4243,100.023568230026,481,"Active","yes","Northeast","Data has been approved and graded"
"OW482",1128,0,0,NA,482,"Active","yes","Northeast","Issues exist with grading or approval"
"OW483",6197,5059,5058,100.01977066034,483,"Active","yes","South Coast","Data has been approved and graded"
"OW484",6212,3885,3884,100.025746652935,484,"Active","yes","West Coast","Data has been approved and graded"
"OW485",6194,5101,5100,100.019607843137,485,"Active","yes","South Coast","Data has been approved and graded"
"OW486",6175,1747,1746,100.057273768614,486,"Active","yes","South Coast","Data has been approved and graded"
"OW487",6106,5853,4681,125.037385174108,487,"Active","yes","Okanagan-Kootenay","Issues exist with grading or approval"
"OW488",6193,3551,3549,100.056353902508,488,"Active","yes","West Coast","Data has been approved and graded"
"OW489",3551,3551,3550,100.028169014085,489,"Active","yes","West Coast","Data has been approved and graded"
"OW490",2729,2729,2729,100,490,"Active","yes","South Coast","Data has been approved and graded"
"OW491",6178,1654,1654,100,491,"Active","yes","South Coast","Data has been approved and graded"
"OW492",6209,5419,5418,100.018456995201,492,"Active","yes","South Coast","Data has been approved and graded"
"OW493",3549,3549,3549,100,493,"Active","yes","West Coast","Data has been approved and graded"
"OW494",6217,4751,4751,100,494,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW495",4026,4026,4025,100.024844720497,495,"Active","yes","South Coast","Data has been approved and graded"
"OW496",NA,NA,NA,NA,496,"Active","yes","Northeast","No data has been appended in the past 7 months"
"OW497",6158,3017,3017,100,497,"Active","yes","South Coast","Data has been approved and graded"
"OW498",5963,3018,3018,100,498,"Active","yes","South Coast","Data has been approved and graded"
"OW499",4484,3018,3018,100,499,"Active","yes","South Coast","Data has been approved and graded"
"OW500",3043,3043,3042,100.032873109796,500,"Active","yes","South Coast","Data has been approved and graded"
"OW501",6186,4246,4246,100,501,"Active","yes","Skeena","Data has been approved and graded"
"OW502",6202,4036,4035,100.02478314746,502,"Active","yes","Omineca","Data has been approved and graded"
"OW503",6213,4004,4005,99.9750312109863,503,"Active","yes","South Coast","Data has been approved and graded"
"OW504",5953,3688,3687,100.027122321671,504,"Active","yes","South Coast","Data has been approved and graded"
"OW505",3018,3018,3018,100,505,"Active","yes","Omineca","Data has been approved and graded"
"OW506",6159,3022,3022,100,506,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW507",6195,5058,5057,100.019774569903,507,"Active","yes","West Coast","Data has been approved and graded"
"OW508",6025,3888,3888,100,508,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW509",6002,3525,3525,100,509,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW510",6172,3048,3048,100,510,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW511",6204,3044,3043,100.032862306934,511,"Active","yes","South Coast","Data has been approved and graded"
"OW512",6173,3021,3021,100,512,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW513",4244,4243,4244,99.9764373232799,513,"Active","yes","Skeena","Data has been approved and graded"
"OW514",6204,2541,2541,100,514,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW515",6147,2541,2541,100,515,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW516",6200,3763,3763,100,516,"Active","yes","Omineca","Data has been approved and graded"
"OW517",6198,3766,3765,100.026560424967,517,"Active","yes","Omineca","Data has been approved and graded"
"OW518",5948,2295,2295,100,518,"Active","yes","Okanagan-Kootenay","Data has been approved and graded"
"OW519",3020,3020,3020,100,519,"Active","yes","Omineca","Data has been approved and graded"
"OW520",6201,3231,3230,100.030959752322,520,"Active","yes","Skeena","Data has been approved and graded"
"OW521",2467,2467,2467,100,521,"Active","yes","West Coast","Data has been approved and graded"
"OW523",4917,4917,4916,100.020341741253,523,"Active","yes","Northeast","Data has been approved and graded"
