ObsWell,first_obs,GapHours,Well_ID,STATUS,Present in PGOWN Spreadsheet?,Region
OW316,1992-09-02T05:00:00.0000000-07:00,0,316,Active,yes,West Coast
OW319,1992-10-04T05:00:00.0000000-07:00,0.33333333333333326,319,Active,yes,West Coast
OW320,1992-10-02T05:00:00.0000000-07:00,241.21666666666667,320,Active,yes,West Coast
OW321,1992-12-15T13:00:00.0000000-07:00,0,321,Active,yes,West Coast
OW327,1995-04-06T13:00:00.0000000-07:00,0,327,Active,yes,West Coast
OW329,1995-09-11T05:00:00.0000000-07:00,0,329,Active,yes,West Coast
OW332,1997-06-12T13:00:00.0000000-07:00,0,332,Active,yes,Okanagan-Kootenay
OW337,1998-09-10T13:00:00.0000000-07:00,0.1499999999999999,337,Active,yes,West Coast
OW338,1998-10-07T13:00:00.0000000-07:00,0,338,Active,yes,West Coast
OW340,1999-06-15T13:00:00.0000000-07:00,0.2333333333333334,340,Active,yes,West Coast
OW343,1998-04-02T05:00:00.0000000-07:00,2,343,Active,yes,West Coast
OW345,1999-12-13T13:00:00.0000000-07:00,0,345,Active,yes,West Coast
OW349,2001-03-28T05:00:00.0000000-07:00,0,349,Active,yes,South Coast
OW351,2001-11-01T13:00:00.0000000-07:00,0,351,Active,yes,West Coast
OW353,2004-09-09T18:00:00.0000000-07:00,0,353,Active,yes,South Coast
OW354,2004-12-22T06:00:00.0000000-07:00,0,354,Active,yes,South Coast
OW355,2004-03-30T11:00:00.0000000-07:00,0,355,Active,yes,West Coast
OW356,2004-06-01T18:00:00.0000000-07:00,0,356,Active,yes,Okanagan-Kootenay
OW357,2004-09-04T02:00:00.0000000-07:00,1,357,Active,yes,South Coast
OW360,2004-12-22T18:00:00.0000000-07:00,0,360,Active,yes,South Coast
OW361,2005-01-21T18:00:00.0000000-07:00,24,361,Active,yes,South Coast
OW362,2005-04-12T07:00:00.0000000-07:00,24,362,Active,yes,Okanagan-Kootenay
OW363,2005-09-21T07:00:00.0000000-07:00,48,363,Active,yes,Okanagan-Kootenay
OW364,2006-10-19T18:00:00.0000000-07:00,0,364,Active,yes,Thompson-Cariboo
OW365,2006-04-11T16:00:00.0000000-07:00,3,365,Active,yes,Thompson-Cariboo
OW369,2006-04-11T14:00:00.0000000-07:00,0,369,Active,yes,West Coast
OW371,2006-04-11T08:00:00.0000000-07:00,0.9166666666666667,371,Active,yes,West Coast
OW372,2007-07-06T12:00:00.0000000-07:00,3411,372,Active,yes,West Coast
OW373,2006-04-10T06:00:00.0000000-07:00,195.16666666666666,373,Active,yes,West Coast
OW374,2007-07-26T00:00:00.0000000-07:00,0,374,Active,yes,Thompson-Cariboo
OW375,2006-07-17T14:00:00.0000000-07:00,0,375,Active,yes,Thompson-Cariboo
OW376,2006-12-14T02:00:00.0000000-07:00,1,376,Active,yes,Thompson-Cariboo
OW377,2008-10-09T05:00:00.0000000-07:00,0,377,Active,yes,Skeena
OW378,2007-07-31T03:10:24.0000000-07:00,0,378,Active,yes,Omineca
OW381,2008-06-12T15:00:00.0000000-07:00,0,381,Active,yes,Thompson-Cariboo
OW383,2008-06-26T07:00:00.0000000-07:00,4.333333333333333,383,Active,yes,West Coast
OW384,2008-04-07T02:00:00.0000000-07:00,0,384,Active,yes,Okanagan-Kootenay
OW385,2010-07-09T13:00:00.0000000-07:00,0,385,Active,yes,West Coast
OW386,2010-10-08T03:00:00.0000000-07:00,0,386,Active,yes,Skeena
OW387,2008-11-03T08:00:00.0000000-07:00,25.816666666666666,387,Active,yes,Okanagan-Kootenay
OW388,2010-07-12T09:00:00.0000000-07:00,196,388,Active,yes,West Coast
OW389,2010-08-06T04:00:00.0000000-07:00,0,389,Active,yes,West Coast
OW390,2011-09-07T15:00:00.0000000-07:00,0,390,Active,yes,West Coast
OW391,2011-04-11T06:00:00.0000000-07:00,0,391,Active,yes,West Coast
OW392,2011-03-29T03:00:00.0000000-07:00,0,392,Active,yes,West Coast
OW393,2011-03-29T04:00:00.0000000-07:00,0,393,Active,yes,West Coast
OW394,2012-04-20T11:00:00.0000000-07:00,0,394,Active,yes,West Coast
OW395,2012-04-20T14:00:00.0000000-07:00,0,395,Active,yes,West Coast
OW396,2012-04-27T03:00:00.0000000-07:00,0,396,Active,yes,West Coast
OW397,2012-07-10T06:00:00.0000000-07:00,0,397,Active,yes,West Coast
OW398,2013-02-19T16:00:00.0000000-07:00,0,398,Active,yes,West Coast
OW399,2010-08-30T13:00:00.0000000-07:00,0,399,Active,yes,Thompson-Cariboo
OW400,2012-04-04T13:00:00.0000000-07:00,0,400,Active,yes,Thompson-Cariboo
OW401,2011-06-25T16:00:00.0000000-07:00,1,401,Active,yes,Okanagan-Kootenay
OW402,2011-08-23T16:00:00.0000000-07:00,0,402,Active,yes,Okanagan-Kootenay
OW403,2011-01-25T08:00:00.0000000-07:00,0,403,Active,yes,Okanagan-Kootenay
OW404,2011-01-25T08:00:00.0000000-07:00,0,404,Active,yes,Okanagan-Kootenay
OW405,2011-06-26T14:00:00.0000000-07:00,0,405,Active,yes,Okanagan-Kootenay
OW406,2010-11-10T16:00:00.0000000-07:00,1,406,Active,yes,South Coast
OW407,2011-08-23T10:00:00.0000000-07:00,0,407,Active,yes,Okanagan-Kootenay
OW409,2012-09-22T04:00:00.0000000-07:00,0,409,Active,yes,Okanagan-Kootenay
OW410,2012-09-22T04:00:00.0000000-07:00,0,410,Active,yes,Okanagan-Kootenay
OW411,2013-04-11T11:42:51.0000000-07:00,58,411,Active,yes,Okanagan-Kootenay
OW412,2013-10-01T19:00:00.0000000-07:00,4,412,Active,yes,Okanagan-Kootenay
OW413,2014-05-02T15:00:00.0000000-07:00,0,413,Active,yes,Okanagan-Kootenay
OW414,2011-11-01T06:00:00.0000000-07:00,1,414,Active,yes,South Coast
OW415,2011-11-01T06:00:00.0000000-07:00,0,415,Active,yes,South Coast
OW416,2013-10-16T03:00:00.0000000-07:00,233,416,Active,yes,Northeast
OW417,2014-07-24T08:00:00.0000000-07:00,0,417,Active,yes,Northeast
OW418,2012-10-25T09:00:00.0000000-07:00,0,418,Active,yes,Northeast
OW420,2012-10-29T09:00:00.0000000-07:00,0,420,Active,yes,Northeast
OW422,2011-06-15T13:00:00.0000000-07:00,1,422,Active,yes,Thompson-Cariboo
OW423,2012-04-04T13:00:00.0000000-07:00,0,423,Active,yes,Thompson-Cariboo
OW424,2013-01-04T08:00:00.0000000-07:00,0,424,Active,yes,West Coast
OW425,2013-05-03T12:00:00.0000000-07:00,0,425,Active,yes,West Coast
OW426,2013-03-13T14:00:00.0000000-07:00,0,426,Active,yes,West Coast
OW427,2013-10-23T16:00:00.0000000-07:00,0,427,Active,yes,West Coast
OW428,2013-05-02T16:00:00.0000000-07:00,0.1333333333333333,428,Active,yes,West Coast
OW429,2013-09-10T15:00:00.0000000-07:00,1.0499999999999998,429,Active,yes,West Coast
OW430,2013-06-29T02:00:00.0000000-07:00,0,430,Active,yes,West Coast
OW431,2013-05-02T15:00:00.0000000-07:00,0,431,Active,yes,West Coast
OW432,2013-04-04T06:00:00.0000000-07:00,0.55,432,Active,yes,West Coast
OW433,2013-09-03T12:00:00.0000000-07:00,0,433,Active,yes,West Coast
OW434,2013-04-03T15:00:00.0000000-07:00,1.6333333333333333,434,Active,yes,West Coast
OW435,2013-09-16T07:00:00.0000000-07:00,1,435,Active,yes,West Coast
OW436,2015-12-22T16:00:00.0000000-07:00,6,436,Active,yes,West Coast
OW437,2015-12-22T15:16:24.0000000-07:00,741,437,Active,yes,West Coast
OW438,2014-02-20T15:00:00.0000000-07:00,0,438,Active,yes,West Coast
OW439,2017-03-22T15:00:00.0000000-07:00,24,439,Active,yes,West Coast
OW440,2017-11-06T16:00:00.0000000-07:00,0,440,Active,yes,South Coast
OW441,2013-07-12T13:00:28.0000000-07:00,0,441,Active,yes,South Coast
OW442,2014-07-17T08:00:00.0000000-07:00,0,442,Active,yes,Okanagan-Kootenay
OW443,2018-04-13T13:00:00.0000000-07:00,0,443,Active,yes,West Coast
OW444,2018-04-10T10:00:00.0000000-07:00,24.15,444,Active,yes,Okanagan-Kootenay
OW445,2014-03-26T12:00:00.0000000-07:00,0,445,Active,yes,Northeast
OW446,2013-03-13T06:00:00.0000000-07:00,0,446,Active,yes,South Coast
OW447,2013-07-25T23:00:00.0000000-07:00,0,447,Active,yes,South Coast
OW448,2013-04-11T04:00:00.0000000-07:00,0,448,Active,yes,South Coast
OW449,2013-04-11T05:00:00.0000000-07:00,0,449,Active,yes,South Coast
OW450,2014-04-10T08:00:00.0000000-07:00,1,450,Active,yes,South Coast
OW451,2014-03-25T06:00:00.0000000-07:00,1,451,Active,yes,South Coast
OW452,2014-08-26T12:00:00.0000000-07:00,0,452,Active,yes,South Coast
OW453,2014-10-14T05:00:00.0000000-07:00,0,453,Active,yes,South Coast
OW454,2015-03-24T16:00:00.0000000-07:00,0,454,Active,yes,South Coast
OW455,2017-10-06T04:00:00.0000000-07:00,1,455,Active,yes,Omineca
OW456,2017-01-12T16:00:00.0000000-07:00,1,456,Active,yes,South Coast
OW457,2017-01-05T15:00:00.0000000-07:00,0,457,Active,yes,South Coast
OW458,2014-10-08T17:30:00.0000000-07:00,1,458,Active,yes,South Coast
OW459,2017-12-21T16:00:00.0000000-07:00,0,459,Active,yes,South Coast
OW460,2010-04-13T13:00:00.0000000-07:00,0,460,Active,yes,South Coast
OW461,2017-11-28T05:00:00.0000000-07:00,2,461,Active,yes,South Coast
OW462,2018-03-17T08:00:00.0000000-07:00,0,462,Active,yes,South Coast
OW463,2017-12-06T19:00:00.0000000-07:00,0,463,Active,yes,South Coast
OW464,2007-10-10T15:00:00.0000000-07:00,0,464,Active,yes,Thompson-Cariboo
OW467,2018-04-27T12:00:00.0000000-07:00,0,467,Active,yes,Okanagan-Kootenay
OW468,2018-04-11T14:00:00.0000000-07:00,0,468,Active,yes,Okanagan-Kootenay
OW469,2018-04-13T13:00:00.0000000-07:00,1,469,Active,yes,West Coast
OW470,2018-04-12T01:00:00.0000000-07:00,0,470,Active,yes,West Coast
OW471,2018-03-22T17:00:00.0000000-07:00,0,471,Active,yes,South Coast
OW473,2019-04-01T18:00:00.0000000-07:00,0,473,Active,yes,South Coast
OW474,2018-07-17T17:00:00.0000000-07:00,0,474,Active,yes,South Coast
OW475,2018-08-28T16:00:00.0000000-07:00,132,475,Active,yes,South Coast
OW476,2018-08-29T17:00:00.0000000-07:00,0,476,Active,yes,South Coast
OW477,2018-07-19T17:00:00.0000000-07:00,1,477,Active,yes,South Coast
OW478,2018-08-30T17:00:00.0000000-07:00,0,478,Active,yes,South Coast
OW479,2018-11-21T18:00:00.0000000-07:00,0,479,Active,yes,South Coast
OW480,2018-06-19T18:00:00.0000000-07:00,0,480,Active,yes,South Coast
OW481,2021-06-03T12:00:00.0000000-07:00,0,481,Active,yes,Northeast
OW482,2018-11-20T15:00:00.0000000-07:00,385,482,Active,yes,Northeast
OW483,2019-01-14T16:00:00.0000000-07:00,0,483,Active,yes,South Coast
OW484,2018-06-07T10:00:00.0000000-07:00,0,484,Active,yes,West Coast
OW485,2019-01-23T07:00:00.0000000-07:00,0,485,Active,yes,South Coast
OW486,2019-01-23T17:00:00.0000000-07:00,0,486,Active,yes,South Coast
OW487,2020-03-12T13:00:00.0000000-07:00,0,487,Active,yes,Okanagan-Kootenay
OW488,2019-03-18T14:00:00.0000000-07:00,0,488,Active,yes,West Coast
OW489,2019-03-18T14:00:00.0000000-07:00,0,489,Active,yes,West Coast
OW490,2016-05-09T16:00:00.0000000-07:00,3,490,Active,yes,South Coast
OW491,2020-03-19T12:00:00.0000000-07:00,0,491,Active,yes,South Coast
OW492,2020-06-08T14:00:00.0000000-07:00,2,492,Active,yes,South Coast
OW493,2020-03-13T14:00:00.0000000-07:00,0,493,Active,yes,West Coast
OW494,2019-06-20T13:00:00.0000000-07:00,0.10000000000000009,494,Active,yes,Okanagan-Kootenay
OW495,2018-05-24T17:00:00.0000000-07:00,0,495,Active,yes,South Coast
OW496,2021-06-03T14:00:00.0000000-07:00,582,496,Active,yes,Northeast
OW497,2021-08-31T19:00:00.0000000-07:00,0,497,Active,yes,South Coast
OW498,2021-03-11T14:00:00.0000000-07:00,0,498,Active,yes,South Coast
OW499,2021-03-11T15:00:00.0000000-07:00,0,499,Active,yes,South Coast
OW500,2019-10-23T12:00:00.0000000-07:00,0,500,Active,yes,South Coast
OW501,2022-03-23T13:00:00.0000000-07:00,0,501,Active,yes,Skeena
OW502,2021-03-20T18:00:00.0000000-07:00,1,502,Active,yes,Omineca
OW503,2022-03-29T15:00:00.0000000-07:00,23,503,Active,yes,South Coast
OW504,2022-12-14T02:00:00.0000000-07:00,0,504,Active,yes,South Coast
OW506,2021-11-18T14:30:00.0000000-07:00,0,506,Active,yes,Okanagan-Kootenay
OW507,2021-04-08T12:00:00.0000000-07:00,2802,507,Active,yes,West Coast
OW508,2023-07-04T15:00:00.0000000-07:00,0,508,Active,yes,Okanagan-Kootenay
OW509,2023-06-06T13:00:00.0000000-07:00,128,509,Active,yes,Okanagan-Kootenay
OW510,2023-02-10T14:00:00.0000000-07:00,0,510,Active,yes,Okanagan-Kootenay
OW511,2022-11-30T16:00:00.0000000-07:00,0,511,Active,yes,South Coast
OW512,2023-02-21T15:00:00.0000000-07:00,0,512,Active,yes,Okanagan-Kootenay
OW513,2018-11-28T14:00:00.0000000-07:00,0,513,Active,yes,Skeena
OW514,2023-05-04T03:00:00.0000000-07:00,0,514,Active,yes,Okanagan-Kootenay
OW515,2023-05-04T03:00:00.0000000-07:00,0,515,Active,yes,Okanagan-Kootenay
OW516,2023-11-15T14:00:00.0000000-07:00,0,516,Active,yes,Omineca
OW517,2023-11-15T15:00:00.0000000-07:00,0,517,Active,yes,Omineca
OW518,2024-08-27T12:00:00.0000000-07:00,195,518,Active,yes,Okanagan-Kootenay
OW520,2024-11-15T12:00:00.0000000-07:00,0,520,Active,yes,Skeena
OW521,2025-03-18T16:00:00.0000000-07:00,14,521,Active,yes,West Coast
OW523,2022-04-11T13:00:00.0000000-07:00,4,523,Active,yes,Northeast
OW524,2024-04-25T14:00:00.0000000-07:00,1,NA,NA,NA,NA
