ObsWell,first_obs,GapHours,Well_ID,STATUS,Present in PGOWN Spreadsheet?,Region
OW002,1962-03-01T05:00:00.0000000-07:00,0,2,Active,yes,South Coast
OW008,1962-02-13T05:00:00.0000000-07:00,1,8,Active,yes,South Coast
OW035,1968-01-11T13:00:00.0000000-07:00,0,35,Active,yes,Thompson-Cariboo
OW045,1965-11-30T13:00:00.0000000-07:00,4,45,Active,yes,Thompson-Cariboo
OW047,1965-11-17T13:00:00.0000000-07:00,1320,47,Active,yes,Okanagan-Kootenay
OW058,1966-09-16T05:00:00.0000000-07:00,0,58,Active,yes,West Coast
OW060,1966-09-28T05:00:00.0000000-07:00,201,60,Active,yes,West Coast
OW071,1976-05-17T13:00:00.0000000-07:00,0,71,Active,yes,West Coast
OW074,1966-11-30T13:00:00.0000000-07:00,818,74,Active,yes,Okanagan-Kootenay
OW075,1967-03-12T05:00:00.0000000-07:00,0,75,Active,yes,Okanagan-Kootenay
OW080,1971-09-08T13:00:00.0000000-07:00,0,80,Active,yes,Thompson-Cariboo
OW081,1967-06-26T13:00:00.0000000-07:00,0,81,Active,yes,Thompson-Cariboo
OW082,1967-10-12T01:00:00.0000000-07:00,1,82,Active,yes,Thompson-Cariboo
OW088,1971-10-06T13:00:00.0000000-07:00,3264,88,Active,yes,Thompson-Cariboo
OW115,1973-09-29T01:00:00.0000000-07:00,280,115,Active,yes,Okanagan-Kootenay
OW117,1971-08-13T05:00:00.0000000-07:00,30,117,Active,yes,Okanagan-Kootenay
OW118,1971-08-10T05:00:00.0000000-07:00,0,118,Active,yes,Okanagan-Kootenay
OW122,1971-10-02T05:00:00.0000000-07:00,0,122,Active,yes,Okanagan-Kootenay
OW124,1971-10-18T05:00:00.0000000-07:00,0,124,Active,yes,Northeast
OW125,1971-12-25T05:00:00.0000000-07:00,0.5666666666666667,125,Active,yes,West Coast
OW128,1972-11-28T13:00:00.0000000-07:00,0.1166666666666667,128,Active,yes,West Coast
OW154,1969-09-15T13:00:00.0000000-07:00,450,154,Active,yes,Okanagan-Kootenay
OW172,1977-08-31T05:00:00.0000000-07:00,0,172,Active,yes,Okanagan-Kootenay
OW180,1975-05-30T05:00:00.0000000-07:00,0,180,Active,yes,Okanagan-Kootenay
OW185,1974-07-15T05:00:00.0000000-07:00,41,185,Active,yes,Thompson-Cariboo
OW196,1973-10-01T05:00:00.0000000-07:00,24,196,Active,yes,West Coast
OW197,1973-08-01T13:00:00.0000000-07:00,0,197,Active,yes,West Coast
OW200,1974-09-22T05:00:00.0000000-07:00,0,200,Active,yes,Skeena
OW201,1975-02-25T05:00:00.0000000-07:00,72,201,Active,yes,West Coast
OW203,1977-03-11T05:00:00.0000000-07:00,1345,203,Active,yes,Okanagan-Kootenay
OW204,1977-01-18T13:00:00.0000000-07:00,0,204,Active,yes,West Coast
OW211,1976-10-21T13:00:00.0000000-07:00,0,211,Active,yes,West Coast
OW217,1977-05-31T05:00:00.0000000-07:00,48,217,Active,yes,Okanagan-Kootenay
OW232,1979-11-30T05:00:00.0000000-07:00,0.3666666666666667,232,Active,yes,West Coast
OW233,1986-03-07T13:00:00.0000000-07:00,0,233,Active,yes,West Coast
OW236,1979-03-10T05:00:00.0000000-07:00,0,236,Active,yes,Okanagan-Kootenay
OW240,1979-01-24T05:00:00.0000000-07:00,4,240,Active,yes,West Coast
OW255,1979-11-19T05:00:00.0000000-07:00,0,255,Active,yes,South Coast
OW258,1980-03-20T05:00:00.0000000-07:00,0,258,Active,yes,West Coast
OW260,1980-09-25T13:00:00.0000000-07:00,0,260,Active,yes,Thompson-Cariboo
OW261,1980-09-05T13:00:00.0000000-07:00,2,261,Active,yes,Thompson-Cariboo
OW262,1980-08-15T05:00:00.0000000-07:00,0,262,Active,yes,Okanagan-Kootenay
OW264,1980-12-27T13:00:00.0000000-07:00,0,264,Active,yes,Okanagan-Kootenay
OW265,1980-12-01T05:00:00.0000000-07:00,0,265,Active,yes,West Coast
OW268,1981-03-23T05:00:00.0000000-07:00,0,268,Active,yes,West Coast
OW272,1981-10-21T05:00:00.0000000-07:00,0,272,Active,yes,South Coast
OW275,1981-10-07T05:00:00.0000000-07:00,0,275,Active,yes,South Coast
OW281,1983-01-06T05:00:00.0000000-07:00,2,281,Active,yes,West Coast
OW282,1983-01-28T05:00:00.0000000-07:00,0,282,Active,yes,Okanagan-Kootenay
OW283,1983-02-15T05:00:00.0000000-07:00,0.33333333333333326,283,Active,yes,West Coast
OW284,1983-02-28T05:00:00.0000000-07:00,0,284,Active,yes,West Coast
OW287,1984-03-12T05:00:00.0000000-07:00,0,287,Active,yes,West Coast
OW288,1984-03-13T05:00:00.0000000-07:00,0,288,Active,yes,West Coast
OW289,1984-03-22T13:00:00.0000000-07:00,1,289,Active,yes,Thompson-Cariboo
OW290,1985-02-06T05:00:00.0000000-07:00,2.8666666666666667,290,Active,yes,West Coast
OW291,1985-03-05T05:00:00.0000000-07:00,24,291,Active,yes,Okanagan-Kootenay
OW292,1985-03-16T05:00:00.0000000-07:00,0,292,Active,yes,South Coast
OW293,1986-02-27T13:00:00.0000000-07:00,0,293,Active,yes,Omineca
OW294,1986-12-30T05:00:00.0000000-07:00,0,294,Active,yes,Okanagan-Kootenay
OW295,1986-11-26T05:00:00.0000000-07:00,0,295,Active,yes,West Coast
OW296,1989-04-02T13:00:00.0000000-07:00,0,296,Active,yes,Thompson-Cariboo
OW299,1987-07-16T05:00:00.0000000-07:00,0,299,Active,yes,South Coast
OW301,1988-04-12T05:00:00.0000000-07:00,0,301,Active,yes,South Coast
OW302,1988-03-27T13:00:00.0000000-07:00,0,302,Active,yes,Thompson-Cariboo
OW303,1988-09-08T13:00:00.0000000-07:00,0,303,Active,yes,West Coast
OW304,1988-10-03T13:00:00.0000000-07:00,0,304,Active,yes,West Coast
OW306,1989-03-15T05:00:00.0000000-07:00,48.11666666666667,306,Active,yes,Okanagan-Kootenay
OW309,1989-10-19T05:00:00.0000000-07:00,24,309,Active,yes,Okanagan-Kootenay
OW310,1990-02-22T05:00:00.0000000-07:00,1,310,Active,yes,West Coast
OW311,1991-10-18T13:00:00.0000000-07:00,457,311,Active,yes,Okanagan-Kootenay
OW312,1991-12-04T13:00:00.0000000-07:00,1,312,Active,yes,West Coast
OW314,1992-01-25T05:00:00.0000000-07:00,0,314,Active,yes,West Coast
