LocationIdentifier,LatestIngest_hr,Well_ID,STATUS,Present in PGOWN Spreadsheet?,Region
OW283,-992,283,Active,yes,West Coast
OW396,-995,396,Active,yes,West Coast
OW397,-996,397,Active,yes,West Coast
OW406,-992,406,Active,yes,South Coast
OW410,-994,410,Active,yes,Okanagan-Kootenay
OW455,-1003,455,Active,yes,Omineca
OW451,-987,451,Active,yes,South Coast
OW485,-989,485,Active,yes,South Coast
OW320,-993,320,Active,yes,West Coast
OW361,-987,361,Active,yes,South Coast
OW217,-1001,217,Active,yes,Okanagan-Kootenay
OW469,-996,469,Active,yes,West Coast
OW470,-990,470,Active,yes,West Coast
OW449,-1001,449,Active,yes,South Coast
OW448,-991,448,Active,yes,South Coast
OW507,-989,507,Active,yes,West Coast
OW459,-1006,459,Active,yes,South Coast
OW462,-991,462,Active,yes,South Coast
OW463,-988,463,Active,yes,South Coast
OW115,-988,115,Active,yes,Okanagan-Kootenay
OW388,-246,388,Active,yes,West Coast
OW442,-1001,442,Active,yes,Okanagan-Kootenay
OW117,124,117,Active,yes,Okanagan-Kootenay
OW384,-1005,384,Active,yes,Okanagan-Kootenay
OW180,-982,180,Active,yes,Okanagan-Kootenay
OW503,-1004,503,Active,yes,South Coast
OW275,-985,275,Active,yes,South Coast
OW301,-984,301,Active,yes,South Coast
OW353,-984,353,Active,yes,South Coast
OW439,-1005,439,Active,yes,West Coast
OW354,-985,354,Active,yes,South Coast
OW197,-999,197,Active,yes,West Coast
OW200,-986,200,Active,yes,Skeena
OW386,-987,386,Active,yes,Skeena
OW486,-990,486,Active,yes,South Coast
OW520,-998,520,Active,yes,Skeena
OW491,-993,491,Active,yes,South Coast
OW497,-997,497,Active,yes,South Coast
OW498,-994,498,Active,yes,South Coast
OW499,-947,499,Active,yes,South Coast
OW511,-995,511,Active,yes,South Coast
OW383,-966,383,Active,yes,West Coast
OW316,-1001,316,Active,yes,West Coast
OW390,-886,390,Active,yes,West Coast
OW403,-987,403,Active,yes,Okanagan-Kootenay
OW411,-998,411,Active,yes,Okanagan-Kootenay
OW514,-994,514,Active,yes,Okanagan-Kootenay
OW515,-985,515,Active,yes,Okanagan-Kootenay
OW518,-985,518,Active,yes,Okanagan-Kootenay
OW405,-1003,405,Active,yes,Okanagan-Kootenay
OW502,-993,502,Active,yes,Omineca
OW293,-990,293,Active,yes,Omineca
OW407,-988,407,Active,yes,Okanagan-Kootenay
OW467,-983,467,Active,yes,Okanagan-Kootenay
OW506,-998,506,Active,yes,Okanagan-Kootenay
OW512,-987,512,Active,yes,Okanagan-Kootenay
OW409,-994,409,Active,yes,Okanagan-Kootenay
OW510,-986,510,Active,yes,Okanagan-Kootenay
OW172,-997,172,Active,yes,Okanagan-Kootenay
OW236,-1003,236,Active,yes,Okanagan-Kootenay
OW356,-998,356,Active,yes,Okanagan-Kootenay
OW122,-983,122,Active,yes,Okanagan-Kootenay
OW262,-990,262,Active,yes,Okanagan-Kootenay
OW494,-1005,494,Active,yes,Okanagan-Kootenay
OW413,-991,413,Active,yes,Okanagan-Kootenay
OW444,-983,444,Active,yes,Okanagan-Kootenay
OW468,-983,468,Active,yes,Okanagan-Kootenay
OW509,-984,509,Active,yes,Okanagan-Kootenay
OW058,-989,58,Active,yes,West Coast
OW240,-985,240,Active,yes,West Coast
OW343,-991,343,Active,yes,West Coast
OW196,-1002,196,Active,yes,West Coast
OW060,-992,60,Active,yes,West Coast
OW185,-1000,185,Active,yes,Thompson-Cariboo
OW128,-996,128,Active,yes,West Coast
OW373,-996,373,Active,yes,West Coast
OW309,-1004,309,Active,yes,Okanagan-Kootenay
OW460,-1005,460,Active,yes,South Coast
OW362,-986,362,Active,yes,Okanagan-Kootenay
OW291,-988,291,Active,yes,Okanagan-Kootenay
OW363,-987,363,Active,yes,Okanagan-Kootenay
OW306,-1001,306,Active,yes,Okanagan-Kootenay
OW290,-994,290,Active,yes,West Coast
OW319,-986,319,Active,yes,West Coast
OW281,-995,281,Active,yes,West Coast
OW438,-984,438,Active,yes,West Coast
OW387,-1005,387,Active,yes,Okanagan-Kootenay
OW483,-988,483,Active,yes,South Coast
OW329,-997,329,Active,yes,West Coast
OW402,-988,402,Active,yes,Okanagan-Kootenay
OW201,-994,201,Active,yes,West Coast
OW385,-1006,385,Active,yes,West Coast
OW296,-997,296,Active,yes,Thompson-Cariboo
OW417,-998,417,Active,yes,Northeast
OW501,-1001,501,Active,yes,Skeena
OW377,-986,377,Active,yes,Skeena
OW360,-1000,360,Active,yes,South Coast
OW454,-991,454,Active,yes,South Coast
OW477,-987,477,Active,yes,South Coast
OW478,-986,478,Active,yes,South Coast
OW440,-1003,440,Active,yes,South Coast
OW441,-1006,441,Active,yes,South Coast
OW504,-984,504,Active,yes,South Coast
OW475,-985,475,Active,yes,South Coast
OW476,-984,476,Active,yes,South Coast
OW272,-985,272,Active,yes,South Coast
OW457,-1002,457,Active,yes,South Coast
OW473,-987,473,Active,yes,South Coast
OW258,-996,258,Active,yes,West Coast
OW484,-1002,484,Active,yes,West Coast
OW508,-984,508,Active,yes,Okanagan-Kootenay
OW412,-998,412,Active,yes,Okanagan-Kootenay
OW203,-1000,203,Active,yes,Okanagan-Kootenay
OW416,-995,416,Active,yes,Northeast
OW378,-998,378,Active,yes,Omineca
OW516,-994,516,Active,yes,Omineca
OW420,-999,420,Active,yes,Northeast
OW445,-999,445,Active,yes,Northeast
OW284,-1000,284,Active,yes,West Coast
OW482,-1004,482,Active,yes,Northeast
OW517,-1004,517,Active,yes,Omineca
OW294,-1002,294,Active,yes,Okanagan-Kootenay
OW118,-982,118,Active,yes,Okanagan-Kootenay
OW487,-991,487,Active,yes,Okanagan-Kootenay
OW450,-995,450,Active,yes,South Coast
OW492,-1000,492,Active,yes,South Coast
OW288,-996,288,Active,yes,West Coast
OW268,-1004,268,Active,yes,West Coast
OW446,-999,446,Active,yes,South Coast
OW414,-990,414,Active,yes,South Coast
OW415,-990,415,Active,yes,South Coast
OW299,-986,299,Active,yes,South Coast
OW002,-986,2,Active,yes,South Coast
OW008,-984,8,Active,yes,South Coast
OW452,-992,452,Active,yes,South Coast
OW453,-992,453,Active,yes,South Coast
OW488,-1005,488,Active,yes,West Coast
OW364,-997,364,Active,yes,Thompson-Cariboo
OW479,-989,479,Active,yes,South Coast
OW355,-996,355,Active,yes,West Coast
OW389,-992,389,Active,yes,West Coast
OW295,-992,295,Active,yes,West Coast
OW075,-1003,75,Active,yes,Okanagan-Kootenay
OW282,-989,282,Active,yes,Okanagan-Kootenay
OW404,-988,404,Active,yes,Okanagan-Kootenay
OW371,-995,371,Active,yes,West Coast
OW391,-993,391,Active,yes,West Coast
OW310,-993,310,Active,yes,West Coast
OW424,-1002,424,Active,yes,West Coast
OW314,-993,314,Active,yes,West Coast
